MonthDay,Count100F,Years
06-01,0,
06-02,0,
06-03,0,
06-04,0,
06-05,1,1925
06-06,0,
06-07,0,
06-08,0,
06-09,3,"1874, 1933, 2011"
06-10,1,1964
06-11,1,1911
06-12,0,
06-13,0,
06-14,0,
06-15,1,1994
06-16,0,
06-17,0,
06-18,0,
06-19,0,
06-20,0,
06-21,0,
06-22,2,"1988, 2024"
06-23,0,
06-24,1,2010
06-25,1,1997
06-26,2,"1952, 1954"
06-27,0,
06-28,1,1969
06-29,4,"1874, 1934, 1959, 2012"
06-30,1,1959
07-01,1,1901
07-02,2,"1898, 1901"
07-03,4,"1872, 1873, 1898, 1966"
07-04,1,1919
07-05,4,"1919, 1990, 1999, 2012"
07-06,4,"1977, 1999, 2010, 2012"
07-07,2,"2010, 2012"
07-08,2,"1993, 2012"
07-09,2,"1936, 1993"
07-10,3,"1936, 1988, 1993"
07-11,0,
07-12,0,
07-13,1,1954
07-14,2,"1954, 2024"
07-15,2,"1988, 2024"
07-16,5,"1879, 1887, 1980, 1988, 2024"
07-17,5,"1980, 1988, 1997, 2012, 2024"
07-18,2,"1887, 2012"
07-19,1,1930
07-20,1,1930
07-21,7,"1926, 1930, 1934, 1957, 1980, 1987, 1991"
07-22,4,"1926, 1930, 1957, 2011"
07-23,4,"1978, 1987, 1991, 2011"
07-24,1,2010
07-25,2,"1930, 2016"
07-26,2,"1930, 2012"
07-27,1,1940
07-28,2,"1993, 1997"
07-29,1,2011
07-30,0,
07-31,2,"1954, 1999"
08-01,1,2011
08-02,1,2002
08-03,2,"1930, 2006"
08-04,1,1930
08-05,2,"1881, 1930"
08-06,2,"1918, 1924"
08-07,1,1918
08-08,3,"1930, 1980, 2007"
08-09,1,1930
08-10,0,
08-11,3,"1900, 1911, 1980"
08-12,0,
08-13,3,"1881, 2002, 2016"
08-14,2,"1943, 2016"
08-15,2,"1988, 2016"
08-16,1,1997
08-17,2,"1988, 1997"
08-18,0,
08-19,0,
08-20,2,"1874, 1983"
08-21,1,1874
08-22,0,
08-23,0,
08-24,0,
08-25,0,
08-26,0,
08-27,1,1987
08-28,1,2024
08-29,0,
08-30,0,
08-31,2,"1932, 1953"
09-01,0,
09-02,2,"1953, 1980"
09-03,0,
09-04,0,
09-05,0,
09-06,0,
09-07,1,1881
09-08,1,1939
09-09,0,
09-10,0,
09-11,0,
09-12,0,
09-13,0,
09-14,0,
09-15,0,
09-16,0,
09-17,0,
09-18,0,
09-19,0,
09-20,0,
09-21,0,
09-22,0,
09-23,0,
09-24,0,
09-25,0,
09-26,0,
09-27,0,
09-28,0,
09-29,0,
09-30,0,
