Year,Days100F,MaxTempYear,First100F,Last100F
1872,1,101.0,1872-07-03,1872-07-03
1873,1,101.0,1873-07-03,1873-07-03
1874,4,102.0,1874-06-09,1874-08-21
1875,0,98.0,,
1876,0,98.0,,
1877,0,98.0,,
1878,0,98.0,,
1879,1,102.0,1879-07-16,1879-07-16
1880,0,98.0,,
1881,3,104.0,1881-08-05,1881-09-07
1882,0,95.0,,
1883,0,97.0,,
1884,0,97.0,,
1885,0,99.0,,
1886,0,92.0,,
1887,2,103.0,1887-07-16,1887-07-18
1888,0,97.0,,
1889,0,93.0,,
1890,0,98.0,,
1891,0,95.0,,
1892,0,99.0,,
1893,0,97.0,,
1894,0,98.0,,
1895,0,98.0,,
1896,0,98.0,,
1897,0,97.0,,
1898,2,101.0,1898-07-02,1898-07-03
1899,0,97.0,,
1900,1,101.0,1900-08-11,1900-08-11
1901,2,102.0,1901-07-01,1901-07-02
1902,0,99.0,,
1903,0,96.0,,
1904,0,94.0,,
1905,0,95.0,,
1906,0,95.0,,
1907,0,93.0,,
1908,0,99.0,,
1909,0,96.0,,
1910,0,95.0,,
1911,2,101.0,1911-06-11,1911-08-11
1912,0,94.0,,
1913,0,97.0,,
1914,0,98.0,,
1915,0,97.0,,
1916,0,97.0,,
1917,0,99.0,,
1918,2,106.0,1918-08-06,1918-08-07
1919,2,101.0,1919-07-04,1919-07-05
1920,0,95.0,,
1921,0,96.0,,
1922,0,95.0,,
1923,0,98.0,,
1924,1,102.0,1924-08-06,1924-08-06
1925,1,100.0,1925-06-05,1925-06-05
1926,2,104.0,1926-07-21,1926-07-22
1927,0,97.0,,
1928,0,97.0,,
1929,0,97.0,,
1930,11,106.0,1930-07-19,1930-08-09
1931,0,99.0,,
1932,1,100.0,1932-08-31,1932-08-31
1933,1,100.0,1933-06-09,1933-06-09
1934,2,101.0,1934-06-29,1934-07-21
1935,0,98.0,,
1936,2,105.0,1936-07-09,1936-07-10
1937,0,97.0,,
1938,0,96.0,,
1939,1,100.0,1939-09-08,1939-09-08
1940,1,100.0,1940-07-27,1940-07-27
1941,0,99.0,,
1942,0,99.0,,
1943,1,100.0,1943-08-14,1943-08-14
1944,0,97.0,,
1945,0,99.0,,
1946,0,96.0,,
1947,0,96.0,,
1948,0,99.0,,
1949,0,97.0,,
1950,0,96.0,,
1951,0,96.0,,
1952,1,101.0,1952-06-26,1952-06-26
1953,2,100.0,1953-08-31,1953-09-02
1954,4,103.0,1954-06-26,1954-07-31
1955,0,98.0,,
1956,0,95.0,,
1957,2,101.0,1957-07-21,1957-07-22
1958,0,95.0,,
1959,2,100.0,1959-06-29,1959-06-30
1960,0,95.0,,
1961,0,95.0,,
1962,0,99.0,,
1963,0,96.0,,
1964,1,100.0,1964-06-10,1964-06-10
1965,0,97.0,,
1966,1,101.0,1966-07-03,1966-07-03
1967,0,95.0,,
1968,0,98.0,,
1969,1,100.0,1969-06-28,1969-06-28
1970,0,96.0,,
1971,0,93.0,,
1972,0,95.0,,
1973,0,98.0,,
1974,0,96.0,,
1975,0,98.0,,
1976,0,95.0,,
1977,1,100.0,1977-07-06,1977-07-06
1978,1,100.0,1978-07-23,1978-07-23
1979,0,97.0,,
1980,6,103.0,1980-07-16,1980-09-02
1981,0,98.0,,
1982,0,97.0,,
1983,1,101.0,1983-08-20,1983-08-20
1984,0,97.0,,
1985,0,98.0,,
1986,0,98.0,,
1987,3,100.0,1987-07-21,1987-08-27
1988,7,104.0,1988-06-22,1988-08-17
1989,0,96.0,,
1990,1,100.0,1990-07-05,1990-07-05
1991,2,101.0,1991-07-21,1991-07-23
1992,0,99.0,,
1993,4,100.0,1993-07-08,1993-07-28
1994,1,101.0,1994-06-15,1994-06-15
1995,0,99.0,,
1996,0,96.0,,
1997,5,105.0,1997-06-25,1997-08-17
1998,0,97.0,,
1999,3,103.0,1999-07-05,1999-07-31
2000,0,94.0,,
2001,0,97.0,,
2002,2,100.0,2002-08-02,2002-08-13
2003,0,94.0,,
2004,0,92.0,,
2005,0,97.0,,
2006,1,101.0,2006-08-03,2006-08-03
2007,1,102.0,2007-08-08,2007-08-08
2008,0,98.0,,
2009,0,97.0,,
2010,4,102.0,2010-06-24,2010-07-24
2011,5,104.0,2011-06-09,2011-08-01
2012,8,105.0,2012-06-29,2012-07-26
2013,0,97.0,,
2014,0,99.0,,
2015,0,98.0,,
2016,4,101.0,2016-07-25,2016-08-15
2017,0,98.0,,
2018,0,98.0,,
2019,0,99.0,,
2020,0,99.0,,
2021,0,97.0,,
2022,0,99.0,,
2023,0,99.0,,
2024,6,104.0,2024-06-22,2024-08-28
2025,0,99.0,,
2026,0,65.0,,
