Year,Snowfall
1888,0.0
1889,0.0
1890,13.0
1891,0.0
1892,5.5
1893,3.3
1894,2.6
1895,1.2
1896,1.0
1897,2.0
1898,1.6
1899,1.8
1900,0.2
1901,0.30000000000000004
1902,3.0
1903,1.3
1904,13.2
1905,5.4
1906,0.3
1907,1.9
1908,11.5
1909,5.2
1910,12.5
1911,0.1
1912,6.5
1913,0.0
1914,3.5
1915,3.8
1916,8.5
1917,6.8
1918,0.0
1919,4.8
1920,0.2
1921,5.5
1922,1.8
1923,1.7
1924,0.5
1925,0.0
1926,3.0
1927,2.5
1928,0.0
1929,1.5
1930,2.5
1931,1.0
1932,14.5
1933,3.0
1934,3.0
1935,11.0
1936,1.5
1937,0.0
1938,0.0
1939,4.4
1940,0.0
1941,0.2
1942,5.800000000000001
1943,0.0
1944,2.1999999999999997
1945,10.3
1946,2.2
1947,3.6
1948,4.4
1949,0.0
1950,3.8
1951,4.8
1952,2.0
1953,0.0
1954,0.1
1955,0.5
1956,0.2
1957,12.0
1958,0.9
1959,0.0
1960,8.7
1961,1.2
1962,16.2
1963,6.3999999999999995
1964,0.5
1965,0.2
1966,16.1
1967,6.300000000000001
1968,0.0
1969,6.8
1970,5.2
1971,0.1
1972,0.0
1973,11.0
1974,0.1
1975,0.4
1976,0.6
1977,0.2
1978,0.0
1979,0.0
1980,0.3
1981,1.7000000000000002
1982,6.6
1983,0.0
1984,0.3
1985,0.7
1986,0.0
1987,0.0
1988,1.2
1989,9.0
1990,3.0
1991,0.0
1992,1.0
1993,2.6
1994,0.0
1995,1.3
1996,0.2
1997,0.1
1998,0.5
1999,0.0
2000,2.0
2001,0.0
2002,7.1
2003,6.2
2004,0.1
2005,4.8
2006,0.0
2007,2.6
2008,0.0
2009,16.6
2010,2.1
2011,0.0
2012,0.2
2013,1.5
2014,0.0
2015,0.0
2016,0.0
2017,1.9
2018,0.0
2019,0.4
2020,0.0
2021,0.0
2022,0.0
2023,0.1
2024,0.1
2025,1.5
