Date,Year,MinTemp,MaxTemp
1876-07-09,1876,80.0,97.0
1876-07-10,1876,80.0,97.0
1876-07-20,1876,80.0,98.0
1930-07-27,1930,81.0,99.0
1949-07-28,1949,80.0,96.0
1949-07-29,1949,80.0,96.0
1952-06-27,1952,80.0,98.0
1952-07-22,1952,80.0,98.0
1959-06-29,1959,81.0,100.0
1959-06-30,1959,81.0,100.0
1978-07-23,1978,81.0,100.0
1980-07-20,1980,81.0,98.0
1980-08-09,1980,80.0,97.0
1981-06-16,1981,80.0,96.0
1981-07-09,1981,82.0,98.0
1981-07-20,1981,80.0,97.0
1983-07-16,1983,84.0,96.0
1983-07-17,1983,80.0,99.0
1987-07-21,1987,82.0,100.0
1987-07-22,1987,81.0,98.0
1989-08-05,1989,80.0,93.0
1991-06-30,1991,82.0,98.0
1993-07-10,1993,81.0,100.0
1995-08-17,1995,80.0,97.0
1999-07-05,1999,81.0,102.0
1999-07-06,1999,83.0,103.0
2002-07-04,2002,80.0,99.0
2002-08-14,2002,80.0,99.0
2006-08-02,2006,80.0,99.0
2006-08-03,2006,81.0,101.0
2007-08-08,2007,80.0,102.0
2010-07-07,2010,80.0,102.0
2010-07-08,2010,80.0,95.0
2010-07-24,2010,81.0,101.0
2010-08-11,2010,80.0,97.0
2011-07-21,2011,80.0,99.0
2011-07-22,2011,83.0,102.0
2011-07-23,2011,84.0,102.0
2011-07-24,2011,84.0,97.0
2011-07-29,2011,80.0,104.0
2011-07-30,2011,81.0,97.0
2011-07-31,2011,80.0,99.0
2012-07-05,2012,80.0,100.0
2012-07-06,2012,81.0,100.0
2012-07-07,2012,82.0,105.0
2012-07-18,2012,80.0,101.0
2013-07-16,2013,80.0,96.0
2013-07-17,2013,80.0,97.0
2013-07-18,2013,80.0,95.0
2013-07-19,2013,81.0,95.0
2013-07-20,2013,80.0,94.0
2015-07-20,2015,82.0,97.0
2016-07-24,2016,80.0,97.0
2016-07-25,2016,81.0,100.0
2016-07-26,2016,80.0,98.0
2016-07-27,2016,81.0,97.0
2016-08-12,2016,81.0,99.0
2016-08-13,2016,81.0,101.0
2016-08-14,2016,80.0,100.0
2017-07-21,2017,81.0,97.0
2018-07-03,2018,80.0,97.0
2018-07-04,2018,80.0,93.0
2018-07-05,2018,80.0,92.0
2019-07-20,2019,81.0,97.0
2019-07-21,2019,80.0,99.0
2024-06-23,2024,81.0,99.0
2024-07-06,2024,81.0,98.0
2024-07-07,2024,80.0,97.0
2024-07-08,2024,80.0,98.0
2024-07-10,2024,81.0,97.0
2024-07-15,2024,81.0,102.0
2024-07-16,2024,80.0,104.0
2024-08-02,2024,80.0,99.0
