Station,MonthDay,Average90FToDate
DCA,03-01,0.0
DCA,03-02,0.0
DCA,03-03,0.0
DCA,03-04,0.0
DCA,03-05,0.0
DCA,03-06,0.0
DCA,03-07,0.0
DCA,03-08,0.0
DCA,03-09,0.0
DCA,03-10,0.0
DCA,03-11,0.0
DCA,03-12,0.0
DCA,03-13,0.0
DCA,03-14,0.0
DCA,03-15,0.0
DCA,03-16,0.0
DCA,03-17,0.0
DCA,03-18,0.0
DCA,03-19,0.0
DCA,03-20,0.0
DCA,03-21,0.0
DCA,03-22,0.0
DCA,03-23,0.0
DCA,03-24,0.0
DCA,03-25,0.0
DCA,03-26,0.0
DCA,03-27,0.0
DCA,03-28,0.0
DCA,03-29,0.0
DCA,03-30,0.0
DCA,03-31,0.0
DCA,04-01,0.0
DCA,04-02,0.0
DCA,04-03,0.0
DCA,04-04,0.0
DCA,04-05,0.0
DCA,04-06,0.03333333333333333
DCA,04-07,0.06666666666666667
DCA,04-08,0.06666666666666667
DCA,04-09,0.06666666666666667
DCA,04-10,0.1
DCA,04-11,0.1
DCA,04-12,0.1
DCA,04-13,0.1
DCA,04-14,0.1
DCA,04-15,0.1
DCA,04-16,0.13333333333333333
DCA,04-17,0.16666666666666666
DCA,04-18,0.2
DCA,04-19,0.26666666666666666
DCA,04-20,0.26666666666666666
DCA,04-21,0.26666666666666666
DCA,04-22,0.26666666666666666
DCA,04-23,0.26666666666666666
DCA,04-24,0.26666666666666666
DCA,04-25,0.26666666666666666
DCA,04-26,0.3
DCA,04-27,0.3333333333333333
DCA,04-28,0.3333333333333333
DCA,04-29,0.36666666666666664
DCA,04-30,0.36666666666666664
DCA,05-01,0.36666666666666664
DCA,05-02,0.4
DCA,05-03,0.43333333333333335
DCA,05-04,0.4666666666666667
DCA,05-05,0.4666666666666667
DCA,05-06,0.4666666666666667
DCA,05-07,0.5
DCA,05-08,0.5333333333333333
DCA,05-09,0.5333333333333333
DCA,05-10,0.5333333333333333
DCA,05-11,0.5333333333333333
DCA,05-12,0.6333333333333333
DCA,05-13,0.7333333333333333
DCA,05-14,0.7333333333333333
DCA,05-15,0.7666666666666667
DCA,05-16,0.7666666666666667
DCA,05-17,0.8
DCA,05-18,0.8333333333333334
DCA,05-19,1.0
DCA,05-20,1.0666666666666667
DCA,05-21,1.1
DCA,05-22,1.1
DCA,05-23,1.2333333333333334
DCA,05-24,1.3
DCA,05-25,1.3333333333333333
DCA,05-26,1.5
DCA,05-27,1.6333333333333333
DCA,05-28,1.7666666666666666
DCA,05-29,1.9
DCA,05-30,2.1666666666666665
DCA,05-31,2.433333333333333
DCA,06-01,2.7
DCA,06-02,2.8
DCA,06-03,2.8666666666666667
DCA,06-04,2.933333333333333
DCA,06-05,3.0
DCA,06-06,3.1333333333333333
DCA,06-07,3.3
DCA,06-08,3.533333333333333
DCA,06-09,3.7666666666666666
DCA,06-10,4.066666666666666
DCA,06-11,4.366666666666666
DCA,06-12,4.7
DCA,06-13,4.933333333333334
DCA,06-14,5.166666666666667
DCA,06-15,5.3
DCA,06-16,5.466666666666667
DCA,06-17,5.7
DCA,06-18,5.966666666666667
DCA,06-19,6.2
DCA,06-20,6.5
DCA,06-21,6.833333333333333
DCA,06-22,7.133333333333334
DCA,06-23,7.3
DCA,06-24,7.633333333333334
DCA,06-25,7.966666666666667
DCA,06-26,8.466666666666667
DCA,06-27,8.8
DCA,06-28,9.2
DCA,06-29,9.566666666666666
DCA,06-30,9.933333333333334
DCA,07-01,10.166666666666666
DCA,07-02,10.6
DCA,07-03,11.1
DCA,07-04,11.566666666666666
DCA,07-05,12.066666666666666
DCA,07-06,12.533333333333333
DCA,07-07,13.1
DCA,07-08,13.633333333333333
DCA,07-09,14.1
DCA,07-10,14.533333333333333
DCA,07-11,14.933333333333334
DCA,07-12,15.433333333333334
DCA,07-13,15.933333333333334
DCA,07-14,16.4
DCA,07-15,16.933333333333334
DCA,07-16,17.666666666666668
DCA,07-17,18.4
DCA,07-18,19.033333333333335
DCA,07-19,19.7
DCA,07-20,20.233333333333334
DCA,07-21,20.866666666666667
DCA,07-22,21.366666666666667
DCA,07-23,21.8
DCA,07-24,22.2
DCA,07-25,22.6
DCA,07-26,23.0
DCA,07-27,23.466666666666665
DCA,07-28,24.0
DCA,07-29,24.466666666666665
DCA,07-30,24.866666666666667
DCA,07-31,25.333333333333332
DCA,08-01,25.833333333333332
DCA,08-02,26.366666666666667
DCA,08-03,26.8
DCA,08-04,27.366666666666667
DCA,08-05,27.8
DCA,08-06,28.2
DCA,08-07,28.533333333333335
DCA,08-08,28.9
DCA,08-09,29.233333333333334
DCA,08-10,29.566666666666666
DCA,08-11,30.0
DCA,08-12,30.366666666666667
DCA,08-13,30.666666666666668
DCA,08-14,31.0
DCA,08-15,31.333333333333332
DCA,08-16,31.833333333333332
DCA,08-17,32.3
DCA,08-18,32.733333333333334
DCA,08-19,32.96666666666667
DCA,08-20,33.2
DCA,08-21,33.46666666666667
DCA,08-22,33.733333333333334
DCA,08-23,33.9
DCA,08-24,34.06666666666667
DCA,08-25,34.36666666666667
DCA,08-26,34.63333333333333
DCA,08-27,34.86666666666667
DCA,08-28,35.166666666666664
DCA,08-29,35.5
DCA,08-30,35.8
DCA,08-31,36.166666666666664
DCA,09-01,36.43333333333333
DCA,09-02,36.7
DCA,09-03,36.9
DCA,09-04,37.2
DCA,09-05,37.36666666666667
DCA,09-06,37.53333333333333
DCA,09-07,37.733333333333334
DCA,09-08,38.0
DCA,09-09,38.13333333333333
DCA,09-10,38.266666666666666
DCA,09-11,38.36666666666667
DCA,09-12,38.46666666666667
DCA,09-13,38.6
DCA,09-14,38.766666666666666
DCA,09-15,38.9
DCA,09-16,39.06666666666667
DCA,09-17,39.13333333333333
DCA,09-18,39.166666666666664
DCA,09-19,39.166666666666664
DCA,09-20,39.233333333333334
DCA,09-21,39.266666666666666
DCA,09-22,39.333333333333336
DCA,09-23,39.46666666666667
DCA,09-24,39.53333333333333
DCA,09-25,39.6
DCA,09-26,39.63333333333333
DCA,09-27,39.7
DCA,09-28,39.7
DCA,09-29,39.733333333333334
DCA,09-30,39.733333333333334
DCA,10-01,39.733333333333334
DCA,10-02,39.766666666666666
DCA,10-03,39.766666666666666
DCA,10-04,39.833333333333336
DCA,10-05,39.86666666666667
DCA,10-06,39.93333333333333
DCA,10-07,39.96666666666667
DCA,10-08,40.0
DCA,10-09,40.03333333333333
DCA,10-10,40.03333333333333
DCA,10-11,40.03333333333333
DCA,10-12,40.03333333333333
DCA,10-13,40.03333333333333
DCA,10-14,40.03333333333333
DCA,10-15,40.03333333333333
DCA,10-16,40.03333333333333
DCA,10-17,40.03333333333333
DCA,10-18,40.03333333333333
DCA,10-19,40.03333333333333
DCA,10-20,40.03333333333333
DCA,10-21,40.03333333333333
DCA,10-22,40.03333333333333
DCA,10-23,40.03333333333333
DCA,10-24,40.03333333333333
DCA,10-25,40.03333333333333
DCA,10-26,40.03333333333333
DCA,10-27,40.03333333333333
DCA,10-28,40.03333333333333
DCA,10-29,40.03333333333333
DCA,10-30,40.03333333333333
DCA,10-31,40.03333333333333
