Station,Year,Month,ThresholdF,Days90F,ValidDays,MaxTempMonth
DCA,1872,5,90,4,31,92.0
DCA,1873,5,90,4,31,92.0
DCA,1874,5,90,2,31,92.0
DCA,1875,5,90,1,31,92.0
DCA,1876,5,90,1,31,90.0
DCA,1877,5,90,6,31,96.0
DCA,1878,5,90,0,31,87.0
DCA,1879,5,90,1,31,94.0
DCA,1880,5,90,6,31,96.0
DCA,1881,5,90,6,31,95.0
DCA,1882,5,90,0,31,86.0
DCA,1883,5,90,1,31,90.0
DCA,1884,5,90,2,31,92.0
DCA,1885,5,90,0,31,86.0
DCA,1886,5,90,0,31,84.0
DCA,1887,5,90,0,31,89.0
DCA,1888,5,90,0,31,89.0
DCA,1889,5,90,2,31,93.0
DCA,1890,5,90,0,31,86.0
DCA,1891,5,90,0,31,89.0
DCA,1892,5,90,0,31,89.0
DCA,1893,5,90,0,31,89.0
DCA,1894,5,90,0,31,88.0
DCA,1895,5,90,4,31,95.0
DCA,1896,5,90,6,31,94.0
DCA,1897,5,90,0,31,83.0
DCA,1898,5,90,1,31,91.0
DCA,1899,5,90,1,31,90.0
DCA,1900,5,90,4,31,94.0
DCA,1901,5,90,0,31,84.0
DCA,1902,5,90,1,31,90.0
DCA,1903,5,90,1,31,91.0
DCA,1904,5,90,0,31,89.0
DCA,1905,5,90,0,31,87.0
DCA,1906,5,90,2,31,92.0
DCA,1907,5,90,0,31,85.0
DCA,1908,5,90,1,31,92.0
DCA,1909,5,90,2,31,90.0
DCA,1910,5,90,0,31,87.0
DCA,1911,5,90,10,31,96.0
DCA,1912,5,90,1,31,90.0
DCA,1913,5,90,2,31,90.0
DCA,1914,5,90,3,31,95.0
DCA,1915,5,90,0,31,86.0
DCA,1916,5,90,1,31,93.0
DCA,1917,5,90,0,31,89.0
DCA,1918,5,90,4,31,93.0
DCA,1919,5,90,3,31,92.0
DCA,1920,5,90,0,31,86.0
DCA,1921,5,90,0,31,88.0
DCA,1922,5,90,0,31,88.0
DCA,1923,5,90,0,31,88.0
DCA,1924,5,90,0,31,88.0
DCA,1925,5,90,2,31,97.0
DCA,1926,5,90,0,31,88.0
DCA,1927,5,90,1,31,91.0
DCA,1928,5,90,2,31,94.0
DCA,1929,5,90,1,31,92.0
