Station,Year,Month,ThresholdF,Days90F,ValidDays,MaxTempMonth
DCA,1872,6,90,12,30,94.0
DCA,1873,6,90,10,30,96.0
DCA,1874,6,90,12,30,102.0
DCA,1875,6,90,7,30,98.0
DCA,1876,6,90,7,30,96.0
DCA,1877,6,90,4,30,96.0
DCA,1878,6,90,1,30,95.0
DCA,1879,6,90,5,30,95.0
DCA,1880,6,90,9,30,96.0
DCA,1881,6,90,3,30,94.0
DCA,1882,6,90,6,30,95.0
DCA,1883,6,90,6,30,92.0
DCA,1884,6,90,6,30,96.0
DCA,1885,6,90,4,30,95.0
DCA,1886,6,90,0,30,89.0
DCA,1887,6,90,4,30,95.0
DCA,1888,6,90,8,30,94.0
DCA,1889,6,90,1,30,90.0
DCA,1890,6,90,5,30,92.0
DCA,1891,6,90,4,30,94.0
DCA,1892,6,90,7,30,94.0
DCA,1893,6,90,5,30,95.0
DCA,1894,6,90,11,30,98.0
DCA,1895,6,90,5,30,98.0
DCA,1896,6,90,2,30,92.0
DCA,1897,6,90,2,30,93.0
DCA,1898,6,90,9,30,97.0
DCA,1899,6,90,9,30,97.0
DCA,1900,6,90,4,30,93.0
DCA,1901,6,90,6,30,98.0
DCA,1902,6,90,5,30,94.0
DCA,1903,6,90,0,30,87.0
DCA,1904,6,90,4,30,94.0
DCA,1905,6,90,3,30,93.0
DCA,1906,6,90,3,30,95.0
DCA,1907,6,90,0,30,89.0
DCA,1908,6,90,3,30,97.0
DCA,1909,6,90,9,30,94.0
DCA,1910,6,90,4,30,94.0
DCA,1911,6,90,6,30,101.0
DCA,1912,6,90,2,30,93.0
DCA,1913,6,90,7,30,96.0
DCA,1914,6,90,7,30,97.0
DCA,1915,6,90,2,30,92.0
DCA,1916,6,90,0,30,87.0
DCA,1917,6,90,2,30,95.0
DCA,1918,6,90,3,30,96.0
DCA,1919,6,90,3,30,93.0
DCA,1920,6,90,5,30,95.0
DCA,1921,6,90,10,30,96.0
DCA,1922,6,90,3,30,93.0
DCA,1923,6,90,13,30,98.0
DCA,1924,6,90,7,30,95.0
DCA,1925,6,90,14,30,100.0
DCA,1926,6,90,2,30,91.0
DCA,1927,6,90,1,30,95.0
DCA,1928,6,90,2,30,91.0
DCA,1929,6,90,6,30,93.0
DCA,1930,6,90,9,30,97.0
DCA,1931,6,90,5,30,99.0
DCA,1932,6,90,8,30,93.0
DCA,1933,6,90,12,30,100.0
DCA,1934,6,90,11,30,101.0
DCA,1935,6,90,9,30,95.0
DCA,1936,6,90,6,30,96.0
DCA,1937,6,90,6,30,92.0
DCA,1938,6,90,6,30,95.0
DCA,1939,6,90,6,30,96.0
DCA,1940,6,90,6,30,93.0
DCA,1941,6,90,10,30,96.0
DCA,1942,6,90,4,30,95.0
DCA,1943,6,90,18,30,95.0
DCA,1944,6,90,11,30,97.0
DCA,1945,6,90,11,30,99.0
DCA,1946,6,90,5,30,95.0
DCA,1947,6,90,2,30,93.0
DCA,1948,6,90,6,30,95.0
DCA,1949,6,90,4,30,96.0
DCA,1950,6,90,4,30,96.0
DCA,1951,6,90,7,30,96.0
DCA,1952,6,90,13,30,101.0
DCA,1953,6,90,10,30,93.0
DCA,1954,6,90,7,30,100.0
DCA,1955,6,90,2,30,91.0
DCA,1956,6,90,9,30,95.0
DCA,1957,6,90,12,30,97.0
DCA,1958,6,90,4,30,94.0
DCA,1959,6,90,10,30,100.0
DCA,1960,6,90,2,30,92.0
DCA,1961,6,90,4,30,92.0
DCA,1962,6,90,2,30,94.0
DCA,1963,6,90,7,30,96.0
DCA,1964,6,90,13,30,100.0
DCA,1965,6,90,10,30,95.0
DCA,1966,6,90,15,30,97.0
DCA,1967,6,90,10,30,95.0
DCA,1968,6,90,7,30,96.0
DCA,1969,6,90,14,30,100.0
DCA,1970,6,90,9,30,95.0
DCA,1971,6,90,10,30,92.0
DCA,1972,6,90,0,30,87.0
DCA,1973,6,90,8,30,93.0
DCA,1974,6,90,3,30,93.0
DCA,1975,6,90,7,30,94.0
DCA,1976,6,90,13,30,95.0
DCA,1977,6,90,6,30,96.0
DCA,1978,6,90,7,30,97.0
DCA,1979,6,90,0,30,89.0
DCA,1980,6,90,9,30,98.0
DCA,1981,6,90,9,30,98.0
DCA,1982,6,90,2,30,91.0
DCA,1983,6,90,6,30,93.0
DCA,1984,6,90,13,30,97.0
DCA,1985,6,90,1,30,93.0
DCA,1986,6,90,12,30,95.0
DCA,1987,6,90,5,30,94.0
DCA,1988,6,90,12,30,101.0
DCA,1989,6,90,4,30,95.0
DCA,1990,6,90,5,30,97.0
DCA,1991,6,90,12,30,98.0
DCA,1992,6,90,2,30,90.0
DCA,1993,6,90,9,30,96.0
DCA,1994,6,90,17,30,101.0
DCA,1995,6,90,5,30,93.0
DCA,1996,6,90,6,30,93.0
DCA,1997,6,90,9,30,100.0
DCA,1998,6,90,3,30,95.0
DCA,1999,6,90,8,30,98.0
DCA,2000,6,90,5,30,94.0
DCA,2001,6,90,5,30,92.0
DCA,2002,6,90,10,30,95.0
DCA,2003,6,90,4,30,93.0
DCA,2004,6,90,3,30,92.0
DCA,2005,6,90,7,30,94.0
DCA,2006,6,90,5,30,93.0
DCA,2007,6,90,7,30,96.0
DCA,2008,6,90,8,30,98.0
DCA,2009,6,90,2,30,91.0
DCA,2010,6,90,18,30,100.0
DCA,2011,6,90,10,30,102.0
DCA,2012,6,90,11,30,104.0
DCA,2013,6,90,6,30,94.0
DCA,2014,6,90,4,30,97.0
DCA,2015,6,90,12,30,96.0
DCA,2016,6,90,5,30,96.0
DCA,2017,6,90,8,30,95.0
DCA,2018,6,90,6,30,95.0
DCA,2019,6,90,9,30,96.0
DCA,2020,6,90,9,30,93.0
DCA,2021,6,90,7,30,95.0
DCA,2022,6,90,5,30,99.0
DCA,2023,6,90,4,30,94.0
DCA,2024,6,90,15,30,100.0
DCA,2025,6,90,11,30,99.0
