Station,Year,Longest90FStreak,LongestStreakStart,LongestStreakEnd,Count3PlusDayStreaks
DCA,1872,18,1872-06-27,1872-07-14,8
DCA,1873,13,1873-07-22,1873-08-03,5
DCA,1874,5,1874-06-22,1874-06-26,7
DCA,1875,7,1875-06-23,1875-06-29,1
DCA,1876,8,1876-07-07,1876-07-14,5
DCA,1877,6,1877-05-17,1877-05-22,3
DCA,1878,11,1878-07-02,1878-07-12,3
DCA,1879,5,1879-08-01,1879-08-05,6
DCA,1880,9,1880-07-08,1880-07-16,4
DCA,1881,6,1881-09-24,1881-09-29,8
DCA,1882,6,1882-07-24,1882-07-29,4
DCA,1883,7,1883-07-02,1883-07-08,4
DCA,1884,7,1884-09-04,1884-09-10,4
DCA,1885,7,1885-07-16,1885-07-22,5
DCA,1886,2,1886-07-29,1886-07-30,0
DCA,1887,7,1887-07-12,1887-07-18,2
DCA,1888,5,1888-06-21,1888-06-25,3
DCA,1889,3,1889-07-08,1889-07-10,1
DCA,1890,3,1890-06-24,1890-06-26,4
DCA,1891,4,1891-08-09,1891-08-12,2
DCA,1892,7,1892-07-24,1892-07-30,3
DCA,1893,3,1893-07-16,1893-07-18,2
DCA,1894,5,1894-06-21,1894-06-25,6
DCA,1895,6,1895-05-29,1895-06-03,3
DCA,1896,10,1896-08-04,1896-08-13,4
DCA,1897,5,1897-09-07,1897-09-11,2
DCA,1898,6,1898-07-16,1898-07-21,8
DCA,1899,5,1899-06-05,1899-06-09,2
DCA,1900,14,1900-08-06,1900-08-19,7
DCA,1901,10,1901-06-27,1901-07-06,5
DCA,1902,4,1902-07-17,1902-07-20,2
DCA,1903,4,1903-07-01,1903-07-04,2
DCA,1904,3,1904-07-17,1904-07-19,1
DCA,1905,3,1905-07-17,1905-07-19,1
DCA,1906,3,1906-06-28,1906-06-30,1
DCA,1907,2,1907-03-22,1907-03-23,0
DCA,1908,4,1908-07-11,1908-07-14,3
DCA,1909,9,1909-06-20,1909-06-28,2
DCA,1910,5,1910-07-08,1910-07-12,3
DCA,1911,6,1911-05-18,1911-05-23,5
DCA,1912,4,1912-07-07,1912-07-10,3
DCA,1913,6,1913-07-27,1913-08-01,4
DCA,1914,5,1914-08-17,1914-08-21,5
DCA,1915,7,1915-07-29,1915-08-04,4
DCA,1916,3,1916-07-11,1916-07-13,2
DCA,1917,4,1917-07-30,1917-08-02,1
DCA,1918,9,1918-07-20,1918-07-28,4
DCA,1919,6,1919-07-01,1919-07-06,3
DCA,1920,3,1920-07-22,1920-07-24,1
DCA,1921,9,1921-06-21,1921-06-29,5
DCA,1922,3,1922-07-01,1922-07-03,2
DCA,1923,8,1923-06-19,1923-06-26,3
DCA,1924,5,1924-08-05,1924-08-09,3
DCA,1925,8,1925-06-01,1925-06-08,4
DCA,1926,6,1926-07-18,1926-07-23,4
DCA,1927,7,1927-07-12,1927-07-18,2
DCA,1928,5,1928-07-16,1928-07-20,3
DCA,1929,9,1929-07-24,1929-08-01,7
DCA,1930,12,1930-07-18,1930-07-29,8
DCA,1931,8,1931-08-03,1931-08-10,7
DCA,1932,7,1932-08-30,1932-09-05,6
DCA,1933,6,1933-07-29,1933-08-03,6
DCA,1934,7,1934-06-24,1934-06-30,6
DCA,1935,8,1935-07-18,1935-07-25,5
DCA,1936,6,1936-08-20,1936-08-25,3
DCA,1937,7,1937-07-07,1937-07-13,6
DCA,1938,4,1938-07-10,1938-07-13,8
DCA,1939,5,1939-05-27,1939-05-31,5
DCA,1940,7,1940-07-25,1940-07-31,2
DCA,1941,6,1941-06-27,1941-07-02,7
DCA,1942,6,1942-07-28,1942-08-02,2
DCA,1943,10,1943-06-19,1943-06-28,9
DCA,1944,7,1944-08-11,1944-08-17,9
DCA,1945,6,1945-06-13,1945-06-18,2
DCA,1946,4,1946-07-18,1946-07-21,1
DCA,1947,5,1947-08-12,1947-08-16,2
DCA,1948,6,1948-08-25,1948-08-30,3
DCA,1949,6,1949-07-25,1949-07-30,4
DCA,1950,4,1950-06-24,1950-06-27,2
DCA,1951,3,1951-06-01,1951-06-03,3
DCA,1952,11,1952-07-13,1952-07-23,5
DCA,1953,12,1953-08-25,1953-09-05,4
DCA,1954,6,1954-07-27,1954-08-01,4
DCA,1955,9,1955-07-15,1955-07-23,5
DCA,1956,5,1956-06-13,1956-06-17,4
DCA,1957,8,1957-06-12,1957-06-19,5
DCA,1958,8,1958-07-01,1958-07-08,2
DCA,1959,10,1959-08-13,1959-08-22,4
DCA,1960,4,1960-04-23,1960-04-26,4
DCA,1961,7,1961-08-31,1961-09-06,6
DCA,1962,3,1962-05-18,1962-05-20,2
DCA,1963,8,1963-06-25,1963-07-02,3
DCA,1964,6,1964-08-21,1964-08-26,7
DCA,1965,8,1965-08-12,1965-08-19,7
DCA,1966,9,1966-07-06,1966-07-14,8
DCA,1967,4,1967-06-10,1967-06-13,3
DCA,1968,6,1968-08-20,1968-08-25,7
DCA,1969,10,1969-06-27,1969-07-06,3
DCA,1970,10,1970-07-25,1970-08-03,8
DCA,1971,5,1971-06-24,1971-06-28,3
DCA,1972,7,1972-07-19,1972-07-25,3
DCA,1973,11,1973-08-26,1973-09-05,4
DCA,1974,5,1974-07-31,1974-08-04,4
DCA,1975,6,1975-07-31,1975-08-05,4
DCA,1976,6,1976-06-25,1976-06-30,4
DCA,1977,10,1977-07-12,1977-07-21,5
DCA,1978,7,1978-07-18,1978-07-24,6
DCA,1979,4,1979-08-08,1979-08-11,4
DCA,1980,21,1980-07-25,1980-08-14,6
DCA,1981,8,1981-07-07,1981-07-14,5
DCA,1982,5,1982-07-16,1982-07-20,3
DCA,1983,15,1983-07-26,1983-08-09,7
DCA,1984,9,1984-06-06,1984-06-14,2
DCA,1985,8,1985-09-03,1985-09-10,4
DCA,1986,4,1986-05-29,1986-06-01,6
DCA,1987,14,1987-07-18,1987-07-31,6
DCA,1988,21,1988-07-29,1988-08-18,7
DCA,1989,6,1989-07-22,1989-07-27,2
DCA,1990,5,1990-07-19,1990-07-23,4
DCA,1991,10,1991-07-15,1991-07-24,11
DCA,1992,9,1992-07-09,1992-07-17,3
DCA,1993,16,1993-07-03,1993-07-18,8
DCA,1994,14,1994-06-13,1994-06-26,3
DCA,1995,14,1995-07-23,1995-08-05,4
DCA,1996,4,1996-06-14,1996-06-17,3
DCA,1997,9,1997-06-20,1997-06-28,6
DCA,1998,5,1998-08-22,1998-08-26,5
DCA,1999,18,1999-07-22,1999-08-08,6
DCA,2000,3,2000-06-10,2000-06-12,2
DCA,2001,6,2001-08-05,2001-08-10,3
DCA,2002,11,2002-08-10,2002-08-20,7
DCA,2003,4,2003-07-04,2003-07-07,3
DCA,2004,2,2004-05-23,2004-05-24,0
DCA,2005,5,2005-07-18,2005-07-22,5
DCA,2006,13,2006-07-27,2006-08-08,5
DCA,2007,11,2007-07-31,2007-08-10,7
DCA,2008,7,2008-07-16,2008-07-22,5
DCA,2009,3,2009-08-09,2009-08-11,2
DCA,2010,12,2010-07-14,2010-07-25,8
DCA,2011,16,2011-07-18,2011-08-02,6
DCA,2012,11,2012-06-28,2012-07-08,6
DCA,2013,7,2013-07-15,2013-07-21,6
DCA,2014,3,2014-06-16,2014-06-18,5
DCA,2015,13,2015-07-24,2015-08-05,9
DCA,2016,13,2016-07-21,2016-08-02,8
DCA,2017,6,2017-06-29,2017-07-04,5
DCA,2018,8,2018-08-04,2018-08-11,7
DCA,2019,12,2019-07-11,2019-07-22,7
DCA,2020,20,2020-06-26,2020-07-15,4
DCA,2021,7,2021-07-11,2021-07-17,7
DCA,2022,8,2022-07-18,2022-07-25,4
