Year,AvgTemp
1872,55.1
1873,55.1
1874,55.7
1875,52.3
1876,54.6
1877,55.8
1878,56.4
1879,55.3
1880,56.0
1881,56.3
1882,55.2
1883,54.4
1884,55.7
1885,53.4
1886,53.8
1887,54.9
1888,53.7
1889,55.1
1890,56.3
1891,55.2
1892,54.0
1893,53.7
1894,56.4
1895,54.2
1896,55.5
1897,54.9
1898,56.1
1899,54.4
1900,56.5
1901,54.1
1902,54.8
1903,54.3
1904,52.2
1905,54.1
1906,55.9
1907,53.5
1908,55.4
1909,55.2
1910,55.3
1911,56.4
1912,54.5
1913,57.3
1914,54.9
1915,55.6
1916,55.0
1917,53.0
1918,55.6
1919,56.4
1920,54.7
1921,58.0
1922,56.4
1923,56.1
1924,54.1
1925,56.1
1926,54.5
1927,56.3
1928,56.0
1929,56.5
1930,57.5
1931,58.3
1932,57.3
1933,57.1
1934,55.9
1935,55.8
1936,56.3
1937,56.4
1938,57.6
1939,57.8
1940,54.8
1941,57.7
1942,57.2
1943,56.9
1944,56.9
1945,57.2
1946,58.1
1947,56.5
1948,56.6
1949,59.0
1950,56.8
1951,57.5
1952,57.6
1953,58.9
1954,57.7
1955,57.0
1956,56.3
1957,58.0
1958,55.5
1959,58.9
1960,56.3
1961,56.7
1962,55.8
1963,55.7
1964,57.4
1965,56.8
1966,56.8
1967,56.3
1968,57.5
1969,57.2
1970,57.7
1971,57.9
1972,56.7
1973,59.3
1974,58.7
1975,59.3
1976,57.8
1977,58.6
1978,58.1
1979,58.0
1980,59.5
1981,59.0
1982,57.6
1983,58.3
1984,57.8
1985,58.1
1986,57.7
1987,58.0
1988,57.0
1989,56.9
1990,60.0
1991,60.2
1992,56.7
1993,57.7
1994,58.2
1995,57.9
1996,56.8
1997,57.9
1998,60.0
1999,58.9
2000,57.0
2001,58.5
2002,59.3
2003,56.4
2004,57.9
2005,58.0
2006,59.1
2007,58.9
2008,59.1
2009,57.3
2010,59.7
2011,59.9
2012,61.5
2013,58.8
2014,58.4
2015,60.1
2016,60.3
2017,60.8
2018,59.8
2019,60.6
2020,60.6
2021,60.4
2022,59.4
2023,61.2
2024,61.8
2025,59.4
