Month-Day,RecordHigh,RecordHighYear,RecordLow,RecordLowYear,RecordLowMax,RecordLowMaxYear,RecordWarmMin,RecordWarmMinYear,NormalHigh,NormalLow
01-01,69.0,2005,-14.0,1881,17.0,1918,53.0,2022,46,32
01-02,71.0,1876,-1.0,1899,15.0,1918,52.0,1876,45,31
01-03,69.0,2023,-3.0,1877,10.0,1879,52.0,2000,45,31
01-04,73.0,1997,-3.0,1877,16.0,1879,60.0,1950,45,31
01-05,71.0,1997,-3.0,1877,18.0,1896,56.0,1950,45,31
01-06,73.0,2007,2.0,1884,14.0,1884,56.0,2007,45,31
01-07,76.0,1907,5.0,1884,18.0,1878,55.0,1946,45,31
01-08,73.0,2008,-0.0,1878,16.0,1942,57.0,1998,45,31
01-09,76.0,1937,4.0,1970,12.0,1970,56.0,"1937, and prior",45,30
01-10,70.0,1950,-3.0,1875,15.0,1982,50.0,"1950, and prior",45,30
01-11,75.0,1975,2.0,1982,14.0,1886,56.0,1975,44,30
01-12,76.0,1890,3.0,1886,15.0,1886,57.0,2018,44,30
01-13,75.0,1932,-8.0,1912,8.0,1912,60.0,1932,44,30
01-14,76.0,1932,-13.0,1912,20.0,1912,52.0,1995,44,30
01-15,77.0,1932,4.0,1886,18.0,1994,56.0,1995,44,30
01-16,73.0,1953,2.0,1893,15.0,1893,44.0,"1995, and prior",44,30
01-17,74.0,1943,-5.0,1982,10.0,1982,48.0,1913,44,30
01-18,69.0,1990,-6.0,1893,21.0,"1977, and prior",50.0,1990,44,30
01-19,71.0,1951,-4.0,1994,8.0,1994,49.0,1986,44,30
01-20,70.0,1951,-2.0,1985,18.0,1994,47.0,1900,44,30
01-21,70.0,1959,-4.0,1985,17.0,1985,47.0,2017,44,30
01-22,76.0,1927,1.0,1893,19.0,2014,51.0,1916,45,30
01-23,72.0,1974,-0.0,1936,16.0,1936,50.0,1932,45,30
01-24,73.0,1950,3.0,1963,18.0,1948,47.0,1950,45,30
01-25,75.0,1950,3.0,1935,16.0,1897,54.0,1950,45,30
01-26,80.0,2024,5.0,"1948, and prior",17.0,1961,56.0,1950,45,30
01-27,75.0,1974,6.0,1935,22.0,1961,55.0,1916,45,30
01-28,73.0,1949,-2.0,1935,18.0,1897,48.0,1944,45,30
01-29,76.0,1975,2.0,1873,16.0,1966,46.0,1974,45,30
01-30,77.0,2002,-6.0,1873,16.0,1934,52.0,"2013, and prior",45,30
01-31,71.0,1916,-2.0,1905,22.0,"2026, and prior",46.0,1916,46,30
02-01,77.0,2002,6.0,"1935, and prior",19.0,1900,48.0,2012,46,30
02-02,72.0,1990,2.0,"1904, and prior",14.0,1881,46.0,1990,46,30
02-03,65.0,1927,-0.0,1895,16.0,1905,44.0,2006,46,30
02-04,70.0,1991,2.0,1898,15.0,1886,49.0,2020,46,30
02-05,74.0,2019,-2.0,"1918, and prior",13.0,1917,43.0,1991,46,30
02-06,74.0,2008,1.0,1895,10.0,1895,55.0,2008,46,30
02-07,73.0,2017,3.0,1907,10.0,1895,48.0,2017,47,30
02-08,74.0,2017,-0.0,1895,12.0,1895,51.0,2017,47,31
02-09,70.0,2001,-7.0,1899,10.0,1899,46.0,1990,47,31
02-10,68.0,"1960, and prior",-8.0,1899,4.0,1899,53.0,1925,47,31
02-11,76.0,1932,-15.0,1899,12.0,1899,48.0,2020,47,31
02-12,74.0,1999,4.0,1899,11.0,1899,51.0,1932,48,31
02-13,72.0,1951,2.0,1917,10.0,1899,53.0,1880,48,31
02-14,73.0,1990,4.0,1905,17.0,1916,54.0,1984,48,32
02-15,77.0,1949,-6.0,1899,18.0,1943,52.0,1909,48,32
02-16,75.0,1954,5.0,1905,18.0,1904,54.0,1954,48,32
02-17,79.0,1976,5.0,"1958, and prior",13.0,1958,61.0,1891,49,32
02-18,77.0,2011,3.0,1903,15.0,1979,52.0,2011,49,32
02-19,74.0,1939,4.0,1903,16.0,1903,52.0,1981,49,32
02-20,78.0,2018,5.0,2015,18.0,1896,59.0,1939,49,33
02-21,82.0,2018,7.0,1885,21.0,1885,56.0,2018,50,33
02-22,77.0,1874,9.0,1963,21.0,1963,60.0,1874,50,33
02-23,81.0,2023,11.0,"1907, and prior",27.0,"1901, and prior",53.0,2017,50,33
02-24,78.0,1985,1.0,1873,16.0,1914,54.0,2017,50,34
02-25,84.0,1930,-1.0,1914,21.0,1934,53.0,1930,51,34
02-26,74.0,1932,12.0,1970,24.0,1904,54.0,1880,51,34
02-27,77.0,1997,8.0,"1934, and prior",19.0,1934,51.0,1997,51,34
02-28,82.0,1948,-1.0,1934,27.0,1934,56.0,1910,52,34
03-01,80.0,"2017, and prior",13.0,1884,21.0,1980,57.0,1910,52,35
03-02,77.0,1972,13.0,"1925, and prior",25.0,"1980, and prior",59.0,1972,52,35
