Year,MaxDwpf,MaxDwpfTime,Roll10
1976,78.0,1976-08-15 14:00:00,80.0
1977,80.0,1977-07-08 19:00:00,80.83333333333333
1978,80.0,1978-07-23 00:00:00,80.0
1979,82.0,1979-08-02 14:00:00,79.875
1980,80.0,1980-07-17 07:00:00,79.55555555555556
1981,85.0,1981-07-21 16:00:00,79.4
1982,75.0,1982-07-11 21:00:00,79.5
1983,79.0,1983-07-04 12:00:00,79.3
1984,77.0,1984-08-03 18:00:00,79.1
1985,78.0,1985-07-31 17:00:00,78.7
1986,79.0,1986-07-26 15:00:00,78.8
1987,78.0,1987-07-08 23:00:00,78.1
1988,78.0,1988-06-21 23:00:00,78.2
1989,78.0,1989-06-27 21:00:00,78.4
1990,81.0,1990-07-09 15:00:00,78.6
1991,78.0,1991-05-30 23:00:00,79.0
1992,76.0,1992-07-01 14:00:00,78.97999999999999
1993,81.0,1993-09-02 21:00:00,79.13199999999999
1994,79.0,1994-07-14 20:00:00,79.032
1995,82.0,1995-07-15 14:00:00,79.232
1996,78.8,1996-07-14 19:54:00,78.93199999999999
1997,79.52,1997-07-15 01:50:00,79.232
1998,77.0,1998-07-30 21:51:00,79.63199999999999
1999,80.0,1999-07-05 01:51:00,79.232
2000,78.0,2000-09-01 16:51:00,78.93199999999999
2001,81.0,2001-08-09 19:51:00,78.43199999999999
2002,80.0,2002-07-28 21:51:00,78.452
2003,77.0,2003-07-06 20:51:00,78.3
2004,76.0,2004-06-17 12:51:00,78.2
2005,77.0,2005-07-16 18:51:00,77.6
2006,79.0,2006-08-02 21:52:00,77.4
2007,78.0,2007-08-07 22:52:00,77.4
2008,76.0,2008-06-07 10:52:00,77.64000000000001
2009,74.0,2009-06-20 13:52:00,77.94000000000001
2010,76.0,2010-07-23 19:52:00,77.84
2011,81.0,2011-07-21 20:52:00,77.94000000000001
2012,82.4,2012-07-02 00:52:00,77.94000000000001
2013,80.0,2013-07-18 18:52:00,78.14000000000001
2014,75.0,2014-07-03 14:52:00,78.34
2015,78.0,2015-07-19 22:52:00,78.74000000000001
2016,79.0,2016-07-25 02:52:00,78.84
2017,80.0,2017-08-18 13:52:00,78.54
2018,78.0,2018-07-02 10:52:00,78.1
2019,78.0,2019-07-17 11:52:00,77.8
2020,77.0,2020-07-07 18:52:00,78.1
2021,78.0,2021-08-12 21:52:00,78.1
2022,78.0,2022-08-08 13:52:00,78.0
2023,77.0,2023-07-15 14:52:00,77.75
2024,78.0,2024-07-05 22:52:00,77.71428571428571
2025,78.0,2025-06-26 15:52:00,77.66666666666667
