Year,Precip
1871,38.16
1872,32.32
1873,45.71
1874,34.44
1875,41.11
1876,47.96
1877,52.59
1878,60.09
1879,32.83
1880,38.83
1881,42.2
1882,46.79
1883,45.71
1884,49.96
1885,44.84
1886,58.17
1887,35.08
1888,45.05
1889,61.33
1890,41.59
1891,52.95
1892,42.34
1893,36.71
1894,30.85
1895,34.25
1896,31.16
1897,44.58
1898,37.72
1899,44.02
1900,41.2
1901,41.75
1902,46.58
1903,43.55
1904,40.84
1905,50.64
1906,52.92
1907,44.65
1908,38.33
1909,33.55
1910,39.05
1911,40.45
1912,44.09
1913,40.05
1914,38.22
1915,39.72
1916,38.27
1917,38.24
1918,36.6
1919,43.19
1920,40.41
1921,36.18
1922,46.96
1923,35.6
1924,49.02
1925,32.88
1926,43.55
1927,35.33
1928,43.4
1929,39.41
1930,21.66
1931,33.51
1932,49.55
1933,49.11
1934,51.14
1935,43.53
1936,41.11
1937,54.29
1938,35.09
1939,40.54
1940,40.21
1941,29.17
1942,52.03
1943,34.11
1944,42.3
1945,46.4
1946,33.62
1947,36.65
1948,57.54
1949,39.86
1950,47.9
1951,41.34
1952,47.43
1953,51.17
1954,28.28
1955,41.44
1956,35.2
1957,32.78
1958,45.62
1959,35.38
1960,36.96
1961,41.94
1962,33.07
1963,39.34
1964,29.48
1965,26.94
1966,36.02
1967,38.15
1968,36.83
1969,43.3
1970,39.62
1971,46.02
1972,51.97
1973,34.98
1974,35.96
1975,50.5
1976,38.07
1977,36.14
1978,39.56
1979,47.33
1980,29.32
1981,30.67
1982,35.77
1983,51.87
1984,37.73
1985,35.86
1986,32.57
1987,36.63
1988,31.74
1989,50.32
1990,40.84
1991,29.62
1992,36.38
1993,41.41
1994,37.57
1995,39.8
1996,51.02
1997,33.82
1998,35.94
1999,40.23
2000,40.66
2001,29.95
2002,34.33
2003,60.83
2004,42.49
2005,44.38
2006,47.77
2007,32.93
2008,46.49
2009,46.9
2010,34.78
2011,46.89
2012,32.45
2013,44.24
2014,44.41
2015,45.02
2016,31.7
2017,35.6
2018,66.28
2019,42.34
2020,57.34
2021,44.09
2022,43.51
2023,35.68
2024,37.57
2025,35.56
