Year,LowestTemp,LowestDate,HighestTemp,HighestDate,Range
1872,3.0,1872-01-31,101.0,1872-07-03,98.0
1873,-6.0,1873-01-30,101.0,1873-07-03,107.0
1874,9.0,1874-01-18,102.0,1874-06-09,93.0
1875,-3.0,1875-01-10,98.0,1875-06-25,101.0
1876,4.0,1876-12-09,98.0,1876-07-11,94.0
1877,-3.0,1877-01-03,98.0,1877-07-27,101.0
1878,-0.0,1878-01-08,98.0,1878-07-18,98.0
1879,-0.0,1879-01-03,102.0,1879-07-16,102.0
1880,-13.0,1880-12-31,98.0,1880-07-13,111.0
1881,-14.0,1881-01-01,104.0,1881-09-07,118.0
1882,8.0,1882-01-24,95.0,1882-06-25,87.0
1883,9.0,1883-01-23,97.0,1883-07-07,88.0
1884,2.0,1884-01-06,97.0,1884-09-09,95.0
1885,2.0,1885-02-11,99.0,1885-07-18,97.0
1886,-2.0,1886-02-05,92.0,1886-08-27,94.0
1887,6.0,1887-01-03,103.0,1887-07-18,97.0
1888,9.0,1888-01-22,97.0,1888-08-08,88.0
1889,4.0,1889-02-24,93.0,1889-05-09,89.0
1890,13.0,1890-03-07,98.0,1890-07-08,85.0
1891,15.0,1891-12-18,95.0,1891-08-10,80.0
1892,4.0,1892-01-17,99.0,1892-07-26,95.0
1893,-6.0,1893-01-18,97.0,1893-07-26,103.0
1894,6.0,1894-12-29,98.0,1894-06-24,92.0
1895,-0.0,1895-02-03,98.0,1895-06-03,98.0
1896,8.0,1896-01-06,98.0,1896-08-06,90.0
1897,8.0,1897-01-26,97.0,1897-09-11,89.0
1898,2.0,1898-02-04,101.0,1898-07-02,99.0
1899,-15.0,1899-02-11,97.0,1899-06-07,112.0
1900,6.0,1900-02-01,101.0,1900-08-11,95.0
1901,7.0,1901-12-22,102.0,1901-07-01,95.0
1902,5.0,1902-02-05,99.0,1902-07-18,94.0
1903,3.0,1903-02-18,96.0,1903-07-02,93.0
1904,2.0,1904-02-02,94.0,1904-06-26,92.0
1905,-2.0,1905-01-31,95.0,1905-07-18,97.0
1906,7.0,1906-02-06,95.0,1906-06-30,88.0
