MonthDay,Hit_55,Hit_60,Hit_65,Hit_70,Hit_75,Pct_GE_55,Roll7_GE_55,Pct_GE_60,Roll7_GE_60,Pct_GE_65,Roll7_GE_65,Pct_GE_70,Roll7_GE_70,Pct_GE_75,Roll7_GE_75
01-01,3.0,1.0,0.0,0.0,0.0,6.0,6.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02,3.0,0.0,0.0,0.0,0.0,6.0,6.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
01-03,2.0,0.0,0.0,0.0,0.0,4.0,6.333333333333333,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
01-04,5.0,1.0,0.0,0.0,0.0,10.0,5.714285714285714,2.0,2.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0
01-05,4.0,3.0,0.0,0.0,0.0,8.0,5.428571428571429,6.0,2.2857142857142856,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
01-06,2.0,2.0,0.0,0.0,0.0,4.0,5.428571428571429,4.0,2.2857142857142856,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
01-07,1.0,1.0,0.0,0.0,0.0,2.0,5.142857142857143,2.0,2.2857142857142856,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
01-08,2.0,1.0,1.0,0.0,0.0,4.0,4.285714285714286,2.0,2.2857142857142856,2.0,0.2857142857142857,0.0,0.0,0.0,0.0
01-09,3.0,0.0,0.0,0.0,0.0,6.0,3.7142857142857144,0.0,2.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
01-10,1.0,0.0,0.0,0.0,0.0,2.0,3.7142857142857144,0.0,1.4285714285714286,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
01-11,2.0,1.0,0.0,0.0,0.0,4.0,4.857142857142857,2.0,1.1428571428571428,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
01-12,2.0,2.0,0.0,0.0,0.0,4.0,4.857142857142857,4.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
01-13,2.0,0.0,0.0,0.0,0.0,4.0,4.285714285714286,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
01-14,5.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
01-15,2.0,1.0,0.0,0.0,0.0,4.0,4.285714285714286,2.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
01-16,1.0,0.0,0.0,0.0,0.0,2.0,4.285714285714286,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
01-17,0.0,0.0,0.0,0.0,0.0,0.0,3.7142857142857144,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
01-18,3.0,0.0,0.0,0.0,0.0,6.0,2.2857142857142856,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
01-19,2.0,1.0,0.0,0.0,0.0,4.0,1.7142857142857142,2.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
01-20,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
01-21,0.0,0.0,0.0,0.0,0.0,0.0,3.142857142857143,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
01-22,0.0,0.0,0.0,0.0,0.0,0.0,3.142857142857143,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
01-23,2.0,1.0,0.0,0.0,0.0,4.0,3.142857142857143,2.0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
01-24,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
01-25,3.0,1.0,0.0,0.0,0.0,6.0,4.0,2.0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
01-26,2.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,0.8571428571428571,2.0,0.2857142857142857,0.0,0.0,0.0,0.0
01-27,3.0,0.0,0.0,0.0,0.0,6.0,4.285714285714286,0.0,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
01-28,0.0,0.0,0.0,0.0,0.0,0.0,3.7142857142857144,0.0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
01-29,0.0,0.0,0.0,0.0,0.0,0.0,3.7142857142857144,0.0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
01-30,3.0,0.0,0.0,0.0,0.0,6.0,4.285714285714286,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
01-31,2.0,1.0,0.0,0.0,0.0,4.0,3.7142857142857144,2.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
02-01,3.0,1.0,0.0,0.0,0.0,6.0,4.571428571428571,2.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
02-02,4.0,1.0,0.0,0.0,0.0,8.0,4.571428571428571,2.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
02-03,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
02-04,3.0,0.0,0.0,0.0,0.0,6.0,3.7142857142857144,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
02-05,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
02-06,1.0,0.0,0.0,0.0,0.0,2.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-07,1.0,0.0,0.0,0.0,0.0,2.0,1.7142857142857142,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
02-08,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
02-09,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
02-10,1.0,1.0,0.0,0.0,0.0,2.0,1.7142857142857142,2.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
02-11,2.0,2.0,0.0,0.0,0.0,4.0,1.7142857142857142,4.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
02-12,2.0,1.0,0.0,0.0,0.0,4.0,2.2857142857142856,2.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
02-13,0.0,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
02-14,1.0,0.0,0.0,0.0,0.0,2.0,3.7142857142857144,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
02-15,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
02-16,4.0,2.0,0.0,0.0,0.0,8.0,4.0,4.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
02-17,2.0,1.0,0.0,0.0,0.0,4.0,4.857142857142857,2.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
02-18,3.0,0.0,0.0,0.0,0.0,6.0,5.428571428571429,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0
02-19,2.0,0.0,0.0,0.0,0.0,4.0,6.571428571428571,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
02-20,3.0,0.0,0.0,0.0,0.0,6.0,6.571428571428571,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
02-21,3.0,2.0,0.0,0.0,0.0,6.0,6.857142857142857,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
02-22,6.0,2.0,0.0,0.0,0.0,12.0,6.285714285714286,4.0,2.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0
02-23,4.0,2.0,0.0,0.0,0.0,8.0,5.714285714285714,4.0,2.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0
02-24,3.0,1.0,0.0,0.0,0.0,6.0,5.714285714285714,2.0,2.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0
02-25,1.0,1.0,0.0,0.0,0.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
02-26,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0
02-27,3.0,1.0,0.0,0.0,0.0,6.0,4.0,2.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
02-28,4.0,0.0,0.0,0.0,0.0,8.0,4.285714285714286,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0
02-29,0.0,0.0,0.0,0.0,0.0,0.0,4.857142857142857,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
03-01,3.0,1.0,0.0,0.0,0.0,6.0,5.714285714285714,2.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0
03-02,4.0,2.0,0.0,0.0,0.0,8.0,6.285714285714286,4.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
03-03,3.0,0.0,0.0,0.0,0.0,6.0,6.571428571428571,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
03-04,3.0,1.0,0.0,0.0,0.0,6.0,8.0,2.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
03-05,5.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0
03-06,5.0,2.0,0.0,0.0,0.0,10.0,7.714285714285714,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
03-07,5.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
03-08,3.0,3.0,0.0,0.0,0.0,6.0,8.285714285714286,6.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
03-09,3.0,1.0,0.0,0.0,0.0,6.0,8.285714285714286,2.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
03-10,4.0,0.0,0.0,0.0,0.0,8.0,8.857142857142858,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0
03-11,4.0,0.0,0.0,0.0,0.0,8.0,8.571428571428571,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0
