Season,FirstColdDayFormatted,LastColdDayFormatted,FirstColdDay_30YearAvgFormatted,LastColdDay_30YearAvgFormatted
1871,01/02,04/18,,
1872,11/10,03/28,,
1873,10/30,04/29,,
1874,10/15,04/22,,
1875,10/14,04/11,,
1876,10/12,04/15,,
1877,11/04,03/26,,
1878,10/29,04/08,,
1879,10/26,04/13,,
1880,10/19,04/07,,
1881,11/16,04/12,,
1882,11/06,04/25,,
1883,11/13,04/10,,
1884,10/26,04/14,,
1885,11/01,03/24,,
1886,11/08,04/20,,
1887,10/16,04/14,,
1888,11/18,04/06,,
1889,11/06,04/06,,
1890,10/31,04/13,,
1891,10/29,04/13,,
1892,10/31,03/30,,
1893,10/31,04/09,,
1894,11/12,03/29,,
1895,10/10,04/10,,
1896,10/25,04/20,,
1897,11/13,04/07,,
1898,10/28,04/11,,
1899,10/22,04/10,,
1900,11/09,03/18,11/01,04/09
1901,10/26,04/04,10/30,04/09
1902,10/30,04/05,10/29,04/09
1903,11/07,04/21,10/30,04/09
1904,10/28,04/19,10/30,04/09
1905,11/02,04/03,10/31,04/08
1906,10/12,04/07,10/31,04/08
1907,10/22,04/06,10/30,04/09
1908,11/01,04/12,10/30,04/09
1909,10/20,03/18,10/30,04/08
1910,10/30,04/10,10/31,04/08
1911,11/02,04/05,10/30,04/08
1912,11/03,04/08,10/30,04/07
1913,11/01,04/10,10/30,04/07
1914,11/07,04/03,10/30,04/07
1915,11/16,04/10,10/31,04/07
1916,11/15,04/14,10/31,04/07
1917,10/31,04/12,10/31,04/07
1918,11/03,04/02,10/31,04/07
1919,11/10,04/11,10/31,04/07
1920,11/12,04/11,10/31,04/07
1921,11/10,03/23,11/01,04/06
1922,11/22,04/15,11/01,04/07
1923,11/02,04/04,11/01,04/07
1924,11/16,04/21,11/02,04/07
1925,10/28,04/20,11/02,04/08
1926,10/28,03/25,11/02,04/07
1927,11/07,04/19,11/02,04/07
1928,10/30,03/11,11/02,04/06
1929,11/10,03/23,11/03,04/06
1930,10/21,03/21,11/02,04/06
1931,11/07,03/17,11/03,04/05
1932,11/13,03/30,11/03,04/05
1933,10/26,03/29,11/03,04/04
1934,11/03,04/16,11/03,04/04
1935,11/23,04/09,11/04,04/04
1936,10/27,03/28,11/04,04/04
1937,10/25,03/11,11/04,04/03
1938,11/24,04/13,11/05,04/03
1939,11/04,04/15,11/05,04/04
1940,10/21,03/31,11/05,04/04
1941,11/11,03/30,11/05,04/04
1942,10/28,04/16,11/05,04/04
1943,11/14,04/07,11/06,04/04
1944,11/13,03/05,11/06,04/03
1945,11/05,03/12,11/05,04/02
1946,11/16,03/31,11/06,04/01
1947,11/13,03/30,11/06,04/01
1948,12/01,03/20,11/07,03/31
1949,11/06,04/15,11/07,04/01
1950,11/12,03/27,11/07,03/31
1951,11/03,03/26,11/07,03/31
1952,10/21,03/11,11/05,03/30
1953,11/06,04/04,11/06,03/30
1954,11/01,03/29,11/05,03/29
1955,11/18,04/22,11/06,03/29
1956,11/19,03/11,11/07,03/29
1957,11/11,03/20,11/07,03/28
1958,11/27,03/29,11/08,03/28
1959,11/08,03/28,11/08,03/29
1960,11/07,04/03,11/08,03/29
1961,11/11,04/04,11/08,03/30
1962,10/27,03/23,11/08,03/29
1963,11/13,04/06,11/08,03/30
1964,10/24,04/05,11/08,03/29
1965,10/29,03/29,11/07,03/29
1966,11/04,04/12,11/07,03/29
1967,11/06,03/16,11/08,03/30
1968,10/31,04/01,11/07,03/29
1969,10/24,03/30,11/07,03/29
1970,11/17,03/31,11/07,03/29
1971,11/08,04/10,11/07,03/29
1972,10/20,04/14,11/07,03/29
1973,11/07,03/26,11/07,03/29
1974,10/21,03/27,11/06,03/29
1975,12/03,04/13,11/07,03/30
1976,10/28,04/09,11/06,03/31
1977,11/14,03/18,11/06,03/30
1978,12/10,03/16,11/07,03/30
1979,11/30,03/14,11/08,03/29
1980,12/14,03/20,11/09,03/29
1981,11/23,04/08,11/09,03/29
1982,11/06,03/30,11/10,03/30
1983,12/02,03/25,11/11,03/30
1984,11/20,04/10,11/11,03/30
1985,12/02,03/23,11/12,03/29
1986,11/13,04/01,11/12,03/30
1987,11/11,03/24,11/12,03/30
1988,11/25,03/20,11/12,03/29
1989,11/18,04/13,11/12,03/30
1990,11/19,03/31,11/12,03/30
1991,11/04,04/05,11/12,03/30
1992,10/20,03/20,11/12,03/30
1993,11/02,03/18,11/11,03/29
1994,11/24,04/05,11/12,03/29
1995,11/05,03/24,11/13,03/29
1996,11/12,04/10,11/13,03/29
1997,11/16,03/25,11/13,03/29
1998,11/05,03/23,11/13,03/29
1999,11/18,03/20,11/14,03/29
2000,11/16,03/28,11/14,03/29
2001,12/22,04/07,11/16,03/28
2002,11/27,04/01,11/17,03/28
2003,11/10,04/06,11/17,03/28
2004,12/04,03/18,11/19,03/28
2005,11/17,03/23,11/18,03/27
2006,11/04,04/09,11/18,03/27
2007,11/24,03/10,11/19,03/27
2008,11/18,03/24,11/18,03/27
2009,12/06,02/27,11/18,03/27
2010,11/29,03/28,11/18,03/27
2011,12/10,03/07,11/18,03/26
2012,11/26,04/04,11/19,03/26
2013,11/13,03/27,11/18,03/26
2014,11/15,03/29,11/18,03/26
2015,11/23,04/11,11/18,03/27
2016,11/23,03/23,11/18,03/26
2017,11/10,03/21,11/18,03/26
2018,11/11,03/08,11/18,03/26
2019,11/09,03/02,11/17,03/24
2020,11/19,04/02,11/17,03/24
2021,11/23,03/29,11/18,03/24
2022,11/18,03/20,11/19,03/24
2023,11/28,03/22,11/20,03/24
2024,11/30,03/03,11/20,03/23
2025,11/11,03/13,11/20,03/23
