Year,LongestStreak,StartDate,EndDate,HighestTemp
1872,1,1872-07-03,1872-07-03,101.0
1873,1,1873-07-03,1873-07-03,101.0
1874,2,1874-08-20,1874-08-21,100.0
1875,0,,,
1876,0,,,
1877,0,,,
1878,0,,,
1879,1,1879-07-16,1879-07-16,102.0
1880,0,,,
1881,1,1881-08-05,1881-08-05,100.0
1882,0,,,
1883,0,,,
1884,0,,,
1885,0,,,
1886,0,,,
1887,1,1887-07-16,1887-07-16,100.0
1888,0,,,
1889,0,,,
1890,0,,,
1891,0,,,
1892,0,,,
1893,0,,,
1894,0,,,
1895,0,,,
1896,0,,,
1897,0,,,
1898,2,1898-07-02,1898-07-03,101.0
1899,0,,,
1900,1,1900-08-11,1900-08-11,101.0
1901,2,1901-07-01,1901-07-02,102.0
1902,0,,,
1903,0,,,
1904,0,,,
1905,0,,,
1906,0,,,
1907,0,,,
1908,0,,,
1909,0,,,
1910,0,,,
1911,1,1911-06-11,1911-06-11,101.0
1912,0,,,
1913,0,,,
1914,0,,,
1915,0,,,
1916,0,,,
1917,0,,,
1918,2,1918-08-06,1918-08-07,106.0
1919,2,1919-07-04,1919-07-05,101.0
1920,0,,,
1921,0,,,
1922,0,,,
1923,0,,,
1924,1,1924-08-06,1924-08-06,102.0
1925,1,1925-06-05,1925-06-05,100.0
1926,2,1926-07-21,1926-07-22,104.0
1927,0,,,
1928,0,,,
1929,0,,,
1930,4,1930-07-19,1930-07-22,106.0
1931,0,,,
1932,1,1932-08-31,1932-08-31,100.0
1933,1,1933-06-09,1933-06-09,100.0
1934,1,1934-06-29,1934-06-29,101.0
1935,0,,,
1936,2,1936-07-09,1936-07-10,105.0
1937,0,,,
1938,0,,,
1939,1,1939-09-08,1939-09-08,100.0
1940,1,1940-07-27,1940-07-27,100.0
1941,0,,,
1942,0,,,
1943,1,1943-08-14,1943-08-14,100.0
1944,0,,,
1945,0,,,
1946,0,,,
1947,0,,,
1948,0,,,
1949,0,,,
1950,0,,,
1951,0,,,
1952,1,1952-06-26,1952-06-26,101.0
1953,1,1953-08-31,1953-08-31,100.0
1954,2,1954-07-13,1954-07-14,100.0
1955,0,,,
1956,0,,,
1957,2,1957-07-21,1957-07-22,101.0
1958,0,,,
1959,2,1959-06-29,1959-06-30,100.0
1960,0,,,
1961,0,,,
1962,0,,,
1963,0,,,
1964,1,1964-06-10,1964-06-10,100.0
1965,0,,,
1966,1,1966-07-03,1966-07-03,101.0
1967,0,,,
1968,0,,,
1969,1,1969-06-28,1969-06-28,100.0
1970,0,,,
1971,0,,,
1972,0,,,
1973,0,,,
1974,0,,,
1975,0,,,
1976,0,,,
1977,1,1977-07-06,1977-07-06,100.0
1978,1,1978-07-23,1978-07-23,100.0
1979,0,,,
1980,2,1980-07-16,1980-07-17,103.0
1981,0,,,
1982,0,,,
1983,1,1983-08-20,1983-08-20,101.0
1984,0,,,
1985,0,,,
1986,0,,,
1987,1,1987-07-21,1987-07-21,100.0
1988,3,1988-07-15,1988-07-17,104.0
1989,0,,,
1990,1,1990-07-05,1990-07-05,100.0
1991,1,1991-07-21,1991-07-21,101.0
1992,0,,,
1993,3,1993-07-08,1993-07-10,100.0
1994,1,1994-06-15,1994-06-15,101.0
1995,0,,,
1996,0,,,
1997,2,1997-08-16,1997-08-17,105.0
1998,0,,,
1999,2,1999-07-05,1999-07-06,103.0
2000,0,,,
2001,0,,,
2002,1,2002-08-02,2002-08-02,100.0
2003,0,,,
2004,0,,,
2005,0,,,
2006,1,2006-08-03,2006-08-03,101.0
2007,1,2007-08-08,2007-08-08,102.0
2008,0,,,
2009,0,,,
2010,2,2010-07-06,2010-07-07,102.0
2011,2,2011-07-22,2011-07-23,102.0
2012,4,2012-07-05,2012-07-08,105.0
2013,0,,,
2014,0,,,
2015,0,,,
2016,3,2016-08-13,2016-08-15,101.0
2017,0,,,
2018,0,,,
2019,0,,,
2020,0,,,
2021,0,,,
2022,0,,,
2023,0,,,
2024,4,2024-07-14,2024-07-17,104.0
2025,0,,,
2026,0,,,
