Winter,LongestFreezeStreak
1871-1872,4
1872-1873,5
1873-1874,3
1874-1875,4
1875-1876,4
1876-1877,9
1877-1878,4
1878-1879,7
1879-1880,1
1880-1881,7
1881-1882,3
1882-1883,3
1883-1884,3
1884-1885,7
1885-1886,7
1886-1887,4
1887-1888,3
1888-1889,2
1889-1890,2
1890-1891,2
1891-1892,3
1892-1893,11
1893-1894,2
1894-1895,12
1895-1896,4
1896-1897,6
1897-1898,3
1898-1899,9
1899-1900,8
1900-1901,4
1901-1902,7
1902-1903,4
1903-1904,5
1904-1905,8
1905-1906,2
1906-1907,4
1907-1908,3
1908-1909,2
1909-1910,3
1910-1911,2
1911-1912,6
1912-1913,1
1913-1914,2
1914-1915,3
1915-1916,3
1916-1917,3
1917-1918,9
1918-1919,3
1919-1920,4
1920-1921,2
1921-1922,6
1922-1923,4
1923-1924,2
1924-1925,2
1925-1926,5
1926-1927,4
1927-1928,3
1928-1929,4
1929-1930,3
1930-1931,2
1931-1932,2
1932-1933,2
1933-1934,5
1934-1935,6
1935-1936,12
1936-1937,1
1937-1938,2
1938-1939,2
1939-1940,5
1940-1941,2
1941-1942,5
1942-1943,3
1943-1944,2
1944-1945,2
1945-1946,5
1946-1947,2
1947-1948,6
1948-1949,1
1949-1950,1
1950-1951,2
1951-1952,2
1952-1953,1
1953-1954,4
1954-1955,3
1955-1956,2
1956-1957,5
1957-1958,6
1958-1959,3
1959-1960,3
1960-1961,6
1961-1962,3
1962-1963,4
1963-1964,4
1964-1965,3
1965-1966,3
1966-1967,2
1967-1968,2
1968-1969,2
1969-1970,4
1970-1971,4
1971-1972,1
1972-1973,3
1973-1974,2
1974-1975,1
1975-1976,2
1976-1977,3
1977-1978,3
1978-1979,7
1979-1980,3
1980-1981,6
1981-1982,6
1982-1983,1
1983-1984,5
1984-1985,3
1985-1986,3
1986-1987,5
1987-1988,6
1988-1989,2
1989-1990,10
1990-1991,1
1991-1992,1
1992-1993,3
1993-1994,5
1994-1995,5
1995-1996,5
1996-1997,3
1997-1998,0
1998-1999,3
1999-2000,3
2000-2001,2
2001-2002,1
2002-2003,3
2003-2004,6
2004-2005,4
2005-2006,2
2006-2007,4
2007-2008,1
2008-2009,3
2009-2010,2
2010-2011,3
2011-2012,1
2012-2013,4
2013-2014,3
2014-2015,3
2015-2016,5
2016-2017,3
2017-2018,4
2018-2019,2
2019-2020,0
2020-2021,2
2021-2022,1
2022-2023,1
2023-2024,3
2024-2025,4
2025-2026,9
