Year,Month,Nice_Day_Count
1996,2,1
1996,3,2
1996,4,11
1996,5,7
1996,6,7
1996,7,9
1996,8,8
1996,9,14
1996,10,13
1996,11,1
1997,1,2
1997,2,3
1997,3,5
1997,4,9
1997,5,14
1997,6,8
1997,7,3
1997,8,9
1997,9,14
1997,10,11
1997,11,1
1998,1,2
1998,3,4
1998,4,11
1998,5,9
1998,6,5
1998,7,6
1998,8,4
1998,9,11
1998,10,20
1998,11,5
1998,12,5
1999,2,1
1999,3,5
1999,4,11
1999,5,17
1999,6,10
1999,7,1
1999,8,5
1999,9,14
1999,10,11
1999,11,9
1999,12,2
2000,1,2
2000,2,2
2000,3,7
2000,4,9
2000,5,9
2000,6,8
2000,7,12
2000,8,9
2000,9,16
2000,10,21
2000,11,4
2001,2,2
2001,3,1
2001,4,7
2001,5,12
2001,6,9
2001,7,12
2001,8,8
2001,9,20
2001,10,16
2001,11,11
2001,12,4
2002,1,3
2002,3,4
2002,4,7
2002,5,14
2002,6,7
2002,7,4
2002,8,4
2002,9,16
2002,10,5
2002,11,2
2003,3,6
2003,4,12
2003,5,7
2003,6,5
2003,7,6
2003,8,5
2003,9,17
2003,10,13
2003,11,7
2004,1,1
2004,2,1
2004,3,4
2004,4,6
2004,5,5
2004,6,12
2004,7,3
2004,8,10
2004,9,14
2004,10,11
2004,11,4
2005,1,1
2005,3,2
2005,4,10
2005,5,11
2005,6,8
2005,7,3
2005,8,4
2005,9,13
2005,10,13
2005,11,7
2006,1,1
2006,2,1
2006,3,4
2006,4,12
2006,5,11
2006,6,7
2006,7,5
2006,8,4
2006,9,15
2006,10,8
2006,11,4
2006,12,1
2007,3,5
2007,4,7
2007,5,16
2007,6,5
2007,7,5
2007,8,5
2007,9,14
2007,10,16
2007,11,3
2008,1,3
2008,3,3
2008,4,9
2008,5,15
2008,6,5
2008,7,1
2008,8,4
2008,9,12
2008,10,14
2008,11,2
2009,3,3
2009,4,8
2009,5,9
2009,6,10
2009,7,8
2009,8,1
2009,9,11
2009,10,9
2009,11,5
2010,3,7
2010,4,15
2010,5,10
2010,6,3
2010,7,2
2010,8,3
2010,9,11
2010,10,15
2010,11,4
2011,2,3
2011,3,2
2011,4,9
2011,5,7
2011,6,5
2011,7,2
2011,8,4
2011,9,10
2011,10,11
2011,11,5
2012,1,2
2012,3,6
2012,4,11
2012,5,10
2012,6,10
2012,7,1
2012,9,16
2012,10,13
2012,11,2
2012,12,2
2013,1,1
2013,4,7
2013,5,10
2013,6,7
2013,7,4
2013,8,9
2013,9,19
2013,10,8
2013,11,2
2013,12,1
2014,3,4
2014,4,10
2014,5,11
2014,6,6
2014,7,6
2014,8,9
2014,9,16
2014,10,13
2014,11,7
2015,2,1
2015,3,2
2015,4,10
2015,5,15
2015,6,5
2015,7,1
2015,8,7
2015,9,7
2015,10,14
2015,11,5
2015,12,3
2016,2,3
2016,3,7
2016,4,8
2016,5,3
2016,6,11
2016,7,1
2016,8,3
2016,9,10
2016,10,17
2016,11,7
2017,2,4
2017,3,2
2017,4,10
2017,5,9
2017,6,9
2017,7,3
2017,8,8
2017,9,15
2017,10,15
2017,11,2
2018,2,2
2018,3,1
2018,4,8
2018,5,9
2018,6,8
2018,7,2
2018,8,3
2018,9,4
2018,10,12
2018,11,2
2019,2,1
2019,3,4
2019,4,10
2019,5,11
2019,6,8
2019,8,3
2019,9,13
2019,10,18
2019,11,1
2019,12,1
2020,1,1
2020,3,3
2020,4,4
2020,5,10
2020,6,5
2020,8,2
2020,9,13
2020,10,14
2020,11,8
2020,12,1
2021,3,8
2021,4,9
2021,5,15
2021,6,9
2021,7,4
2021,8,4
2021,9,14
2021,10,16
2021,11,4
2021,12,3
2022,2,2
2022,3,5
2022,4,8
2022,5,9
2022,6,10
2022,7,2
2022,8,1
2022,9,13
2022,10,10
2022,11,7
2022,12,1
2023,1,1
2023,2,3
2023,3,4
2023,4,8
2023,5,17
2023,6,11
2023,8,6
2023,9,9
2023,10,16
2023,11,6
2024,2,1
2024,3,8
2024,4,10
2024,5,8
2024,6,3
2024,7,2
2024,8,7
2024,9,10
2024,10,23
2024,11,6
2024,12,1
2025,2,2
2025,3,9
2025,4,10
2025,5,10
2025,6,6
2025,8,14
2025,9,12
2025,10,14
2025,11,4
