Date,TotalPrecip,Year,Month
1871-07-01,6.1,1871,7
1872-07-01,0.82,1872,7
1873-07-01,4.3,1873,7
1874-07-01,2.34,1874,7
1875-07-01,3.05,1875,7
1876-07-01,5.12,1876,7
1877-07-01,6.5,1877,7
1878-07-01,8.37,1878,7
1879-07-01,3.36,1879,7
1880-07-01,2.25,1880,7
1881-07-01,1.67,1881,7
1882-07-01,4.46,1882,7
1883-07-01,4.73,1883,7
1884-07-01,7.39,1884,7
1885-07-01,3.03,1885,7
1886-07-01,10.63,1886,7
1887-07-01,3.29,1887,7
1888-07-01,4.47,1888,7
1889-07-01,8.13,1889,7
1890-07-01,3.24,1890,7
1891-07-01,8.4,1891,7
1892-07-01,5.04,1892,7
1893-07-01,1.44,1893,7
1894-07-01,2.14,1894,7
1895-07-01,4.5,1895,7
1896-07-01,3.69,1896,7
1897-07-01,5.78,1897,7
1898-07-01,2.86,1898,7
1899-07-01,6.06,1899,7
1900-07-01,1.25,1900,7
1901-07-01,5.17,1901,7
1902-07-01,2.54,1902,7
1903-07-01,5.17,1903,7
1904-07-01,6.25,1904,7
1905-07-01,9.95,1905,7
1906-07-01,6.8,1906,7
1907-07-01,1.55,1907,7
1908-07-01,3.29,1908,7
1909-07-01,1.8,1909,7
1910-07-01,3.73,1910,7
1911-07-01,4.47,1911,7
1912-07-01,7.21,1912,7
1913-07-01,3.24,1913,7
1914-07-01,2.32,1914,7
1915-07-01,3.21,1915,7
1916-07-01,4.97,1916,7
1917-07-01,9.41,1917,7
1918-07-01,3.79,1918,7
1919-07-01,6.8,1919,7
1920-07-01,5.71,1920,7
1921-07-01,4.79,1921,7
1922-07-01,9.59,1922,7
1923-07-01,4.92,1923,7
1924-07-01,2.76,1924,7
1925-07-01,3.82,1925,7
1926-07-01,4.2,1926,7
1927-07-01,1.82,1927,7
1928-07-01,2.17,1928,7
1929-07-01,1.29,1929,7
1930-07-01,2.3,1930,7
1931-07-01,4.23,1931,7
1932-07-01,2.43,1932,7
1933-07-01,6.71,1933,7
1934-07-01,2.88,1934,7
1935-07-01,2.25,1935,7
1936-07-01,4.07,1936,7
1937-07-01,3.67,1937,7
1938-07-01,5.06,1938,7
1939-07-01,2.01,1939,7
1940-07-01,5.73,1940,7
1941-07-01,5.67,1941,7
1942-07-01,5.4,1942,7
1943-07-01,1.46,1943,7
1944-07-01,2.44,1944,7
1945-07-01,11.06,1945,7
1946-07-01,3.14,1946,7
1947-07-01,3.47,1947,7
1948-07-01,4.31,1948,7
1949-07-01,4.22,1949,7
1950-07-01,5.11,1950,7
1951-07-01,5.25,1951,7
1952-07-01,4.46,1952,7
1953-07-01,2.72,1953,7
1954-07-01,1.7,1954,7
1955-07-01,2.32,1955,7
1956-07-01,5.88,1956,7
1957-07-01,1.05,1957,7
1958-07-01,7.15,1958,7
1959-07-01,4.38,1959,7
1960-07-01,4.61,1960,7
1961-07-01,3.95,1961,7
1962-07-01,1.63,1962,7
1963-07-01,1.95,1963,7
1964-07-01,1.87,1964,7
1965-07-01,2.98,1965,7
1966-07-01,0.93,1966,7
1967-07-01,5.24,1967,7
1968-07-01,1.31,1968,7
1969-07-01,9.44,1969,7
1970-07-01,8.12,1970,7
1971-07-01,4.97,1971,7
1972-07-01,3.43,1972,7
1973-07-01,2.68,1973,7
1974-07-01,1.15,1974,7
1975-07-01,7.16,1975,7
1976-07-01,4.54,1976,7
1977-07-01,4.06,1977,7
1978-07-01,4.28,1978,7
1979-07-01,3.43,1979,7
1980-07-01,3.86,1980,7
1981-07-01,5.69,1981,7
1982-07-01,2.98,1982,7
1983-07-01,1.78,1983,7
1984-07-01,4.09,1984,7
1985-07-01,2.91,1985,7
1986-07-01,3.79,1986,7
1987-07-01,2.59,1987,7
1988-07-01,3.74,1988,7
1989-07-01,5.66,1989,7
1990-07-01,3.78,1990,7
1991-07-01,3.76,1991,7
1992-07-01,5.34,1992,7
1993-07-01,1.36,1993,7
1994-07-01,3.61,1994,7
1995-07-01,4.03,1995,7
1996-07-01,5.6,1996,7
1997-07-01,1.14,1997,7
1998-07-01,1.79,1998,7
1999-07-01,1.01,1999,7
2000-07-01,5.51,2000,7
2001-07-01,4.78,2001,7
2002-07-01,2.2,2002,7
2003-07-01,5.76,2003,7
2004-07-01,6.98,2004,7
2005-07-01,6.06,2005,7
2006-07-01,3.56,2006,7
2007-07-01,2.4,2007,7
2008-07-01,3.6,2008,7
2009-07-01,1.07,2009,7
2010-07-01,5.17,2010,7
2011-07-01,3.03,2011,7
2012-07-01,2.81,2012,7
2013-07-01,4.43,2013,7
2014-07-01,4.68,2014,7
2015-07-01,5.01,2015,7
2016-07-01,3.13,2016,7
2017-07-01,9.15,2017,7
2018-07-01,9.73,2018,7
2019-07-01,6.49,2019,7
2020-07-01,6.51,2020,7
2021-07-01,4.24,2021,7
2022-07-01,7.61,2022,7
2023-07-01,6.46,2023,7
2024-07-01,4.82,2024,7
2025-07-01,3.54,2025,7
