Date,AvgTemp,MaxTemp,MinTemp,Year,Month
1872-12-01,31.0,56,3,1872,12
1873-12-01,40.3,73,18,1873,12
1874-12-01,39.1,70,16,1874,12
1875-12-01,36.8,71,12,1875,12
1876-12-01,27.1,60,4,1876,12
1877-12-01,42.5,66,21,1877,12
1878-12-01,33.5,60,14,1878,12
1879-12-01,41.3,66,13,1879,12
1880-12-01,28.8,54,-13,1880,12
1881-12-01,42.1,70,21,1881,12
1882-12-01,34.0,54,8,1882,12
1883-12-01,36.9,60,15,1883,12
1884-12-01,36.5,67,6,1884,12
1885-12-01,38.1,64,14,1885,12
1886-12-01,30.8,54,11,1886,12
1887-12-01,36.8,59,14,1887,12
1888-12-01,37.4,61,16,1888,12
1889-12-01,45.6,72,22,1889,12
1890-12-01,34.4,60,18,1890,12
1891-12-01,43.1,67,15,1891,12
1892-12-01,33.2,67,13,1892,12
1893-12-01,38.3,65,11,1893,12
1894-12-01,37.4,60,6,1894,12
1895-12-01,38.8,66,13,1895,12
1896-12-01,35.7,66,12,1896,12
1897-12-01,38.1,68,14,1897,12
1898-12-01,35.6,68,12,1898,12
1899-12-01,36.2,67,3,1899,12
1900-12-01,36.5,62,15,1900,12
1901-12-01,34.7,66,7,1901,12
1902-12-01,34.4,60,16,1902,12
1903-12-01,32.2,51,12,1903,12
1904-12-01,30.9,60,6,1904,12
1905-12-01,37.5,59,18,1905,12
1906-12-01,37.0,69,13,1906,12
1907-12-01,38.1,68,19,1907,12
1908-12-01,36.9,69,18,1908,12
1909-12-01,31.8,66,8,1909,12
1910-12-01,30.5,62,8,1910,12
1911-12-01,40.9,67,22,1911,12
1912-12-01,40.0,73,19,1912,12
1913-12-01,40.4,66,24,1913,12
1914-12-01,32.7,64,2,1914,12
1915-12-01,35.2,62,21,1915,12
1916-12-01,35.5,71,13,1916,12
1917-12-01,27.9,50,-3,1917,12
1918-12-01,41.6,67,24,1918,12
1919-12-01,32.6,69,8,1919,12
1920-12-01,39.3,68,22,1920,12
1921-12-01,37.9,66,12,1921,12
1922-12-01,37.6,64,17,1922,12
1923-12-01,45.0,68,22,1923,12
1924-12-01,36.5,74,14,1924,12
1925-12-01,36.9,59,13,1925,12
1926-12-01,33.8,50,10,1926,12
1927-12-01,39.1,70,16,1927,12
1928-12-01,39.2,62,20,1928,12
1929-12-01,38.4,70,15,1929,12
1930-12-01,35.7,56,15,1930,12
1931-12-01,44.3,70,24,1931,12
1932-12-01,39.6,68,14,1932,12
1933-12-01,38.6,69,8,1933,12
