Date,AvgTemp,MaxTemp,MinTemp,Year,Month
1872-06-01,75.4,94,53,1872,6
1873-06-01,75.6,96,46,1873,6
1874-06-01,76.8,102,52,1874,6
1875-06-01,73.0,98,54,1875,6
1876-06-01,76.0,96,50,1876,6
1877-06-01,74.1,96,52,1877,6
1878-06-01,68.8,95,48,1878,6
1879-06-01,73.2,95,51,1879,6
1880-06-01,74.4,96,50,1880,6
1881-06-01,71.4,94,54,1881,6
1882-06-01,74.3,95,51,1882,6
1883-06-01,74.5,92,51,1883,6
1884-06-01,73.3,96,50,1884,6
1885-06-01,71.3,95,52,1885,6
1886-06-01,70.1,89,50,1886,6
1887-06-01,71.4,95,50,1887,6
1888-06-01,72.8,94,52,1888,6
1889-06-01,70.8,90,48,1889,6
1890-06-01,74.8,92,50,1890,6
1891-06-01,71.5,94,45,1891,6
1892-06-01,76.3,94,53,1892,6
1893-06-01,72.5,95,54,1893,6
1894-06-01,73.6,98,46,1894,6
1895-06-01,74.7,98,53,1895,6
1896-06-01,71.3,92,52,1896,6
1897-06-01,69.6,93,43,1897,6
1898-06-01,73.5,97,53,1898,6
1899-06-01,74.3,97,53,1899,6
1900-06-01,72.3,93,54,1900,6
1901-06-01,72.3,98,52,1901,6
1902-06-01,71.8,94,46,1902,6
1903-06-01,67.1,87,48,1903,6
1904-06-01,71.0,94,50,1904,6
1905-06-01,71.8,93,47,1905,6
1906-06-01,72.9,95,53,1906,6
1907-06-01,65.9,89,46,1907,6
1908-06-01,71.8,97,52,1908,6
1909-06-01,73.4,94,51,1909,6
1910-06-01,69.7,94,45,1910,6
1911-06-01,73.0,101,56,1911,6
1912-06-01,70.4,93,45,1912,6
1913-06-01,72.8,96,45,1913,6
1914-06-01,73.8,97,51,1914,6
1915-06-01,70.6,92,49,1915,6
1916-06-01,69.7,87,49,1916,6
1917-06-01,72.6,95,50,1917,6
1918-06-01,70.8,96,51,1918,6
1919-06-01,73.9,93,50,1919,6
1920-06-01,71.6,95,54,1920,6
1921-06-01,74.2,96,50,1921,6
1922-06-01,74.5,93,55,1922,6
1923-06-01,75.6,98,57,1923,6
1924-06-01,71.3,95,50,1924,6
1925-06-01,77.4,100,52,1925,6
1926-06-01,69.1,91,48,1926,6
1927-06-01,68.5,95,50,1927,6
1928-06-01,71.0,91,50,1928,6
1929-06-01,72.4,93,46,1929,6
1930-06-01,75.1,97,45,1930,6
1931-06-01,73.3,99,52,1931,6
1932-06-01,73.2,93,49,1932,6
1933-06-01,74.7,100,47,1933,6
1934-06-01,77.2,101,61,1934,6
1935-06-01,73.4,95,56,1935,6
1936-06-01,72.8,96,54,1936,6
1937-06-01,75.1,92,56,1937,6
1938-06-01,72.7,95,45,1938,6
1939-06-01,75.4,96,59,1939,6
1940-06-01,74.7,93,51,1940,6
1941-06-01,73.2,96,54,1941,6
1942-06-01,74.4,95,58,1942,6
1943-06-01,79.2,95,60,1943,6
1944-06-01,74.8,97,50,1944,6
1945-06-01,74.5,99,46,1945,6
1946-06-01,72.4,95,52,1946,6
1947-06-01,71.6,93,50,1947,6
1948-06-01,74.0,95,52,1948,6
1949-06-01,75.1,96,53,1949,6
1950-06-01,73.9,96,53,1950,6
1951-06-01,73.4,96,55,1951,6
1952-06-01,76.9,101,54,1952,6
1953-06-01,74.6,93,53,1953,6
1954-06-01,74.4,100,54,1954,6
1955-06-01,70.2,91,52,1955,6
1956-06-01,73.2,95,52,1956,6
