MonthDay,Count_0.1,Count_1,Count_3,Count_6
Oct 01,0,0,0,0
Oct 02,0,0,0,0
Oct 03,0,0,0,0
Oct 04,0,0,0,0
Oct 05,0,0,0,0
Oct 06,0,0,0,0
Oct 07,0,0,0,0
Oct 08,0,0,0,0
Oct 09,0,0,0,0
Oct 10,1,0,0,0
Oct 11,0,0,0,0
Oct 12,0,0,0,0
Oct 13,0,0,0,0
Oct 14,0,0,0,0
Oct 15,0,0,0,0
Oct 16,0,0,0,0
Oct 17,0,0,0,0
Oct 18,0,0,0,0
Oct 19,1,0,0,0
Oct 20,1,1,0,0
Oct 21,0,0,0,0
Oct 22,0,0,0,0
Oct 23,0,0,0,0
Oct 24,0,0,0,0
Oct 25,0,0,0,0
Oct 26,0,0,0,0
Oct 27,0,0,0,0
Oct 28,0,0,0,0
Oct 29,0,0,0,0
Oct 30,1,1,0,0
Oct 31,1,0,0,0
Nov 01,0,0,0,0
Nov 02,0,0,0,0
Nov 03,0,0,0,0
Nov 04,1,1,1,0
Nov 05,2,1,0,0
Nov 06,1,1,1,1
Nov 07,1,0,0,0
Nov 08,0,0,0,0
Nov 09,1,0,0,0
Nov 10,0,0,0,0
Nov 11,2,1,1,1
Nov 12,1,0,0,0
Nov 13,1,1,1,0
Nov 14,3,1,1,0
Nov 15,2,1,0,0
Nov 16,0,0,0,0
Nov 17,0,0,0,0
Nov 18,0,0,0,0
Nov 19,2,1,0,0
Nov 20,2,0,0,0
Nov 21,0,0,0,0
Nov 22,3,1,0,0
Nov 23,3,2,0,0
Nov 24,4,1,0,0
Nov 25,5,3,1,1
Nov 26,4,2,0,0
Nov 27,5,1,0,0
Nov 28,4,2,1,0
Nov 29,4,0,0,0
Nov 30,6,3,1,1
Dec 01,0,0,0,0
Dec 02,3,2,0,0
Dec 03,4,1,0,0
Dec 04,5,3,2,1
Dec 05,12,8,3,1
Dec 06,5,4,1,0
Dec 07,3,1,0,0
Dec 08,5,3,2,0
