Year,Nice_Days
1872,12
1873,15
1874,17
1875,11
1876,5
1877,13
1878,16
1879,14
1880,14
1881,14
1882,15
1883,10
1884,13
1885,11
1886,19
1887,11
1888,3
1889,10
1890,8
1891,9
1892,16
1893,14
1894,14
1895,15
1896,13
1897,11
1898,11
1899,17
1900,15
1901,15
1902,16
1903,15
1904,12
1905,14
1906,9
1907,11
1908,15
1909,14
1910,14
1911,11
1912,20
1913,12
1914,18
1915,10
1916,11
1917,4
1918,20
1919,9
1920,23
1921,18
1922,14
1923,15
1924,22
1925,3
1926,7
1927,17
1928,17
1929,12
1930,14
1931,19
1932,12
1933,17
1934,16
1935,15
1936,15
1937,8
1938,16
1939,10
1940,12
1941,12
1942,15
1943,12
1944,13
1945,16
1946,20
1947,26
1948,14
1949,17
1950,18
1951,18
1952,18
1953,23
1954,8
1955,15
1956,12
1957,15
1958,16
1959,8
1960,15
1961,16
1962,19
1963,28
1964,13
1965,18
1966,18
1967,14
1968,17
1969,19
1970,19
1971,18
1972,11
1973,22
1974,20
1975,16
1976,8
1977,16
1978,16
1979,11
1980,18
1981,11
1982,17
1983,16
1984,22
1985,16
1986,15
1987,16
1988,7
1989,18
1990,15
1991,20
1992,10
1993,15
1994,17
1995,17
1996,17
1997,12
1998,24
1999,11
2000,22
2001,17
2002,7
2003,16
2004,12
2005,13
2006,10
2007,21
2008,16
2009,13
2010,17
2011,14
2012,18
2013,14
2014,15
2015,15
2016,18
2017,17
2018,14
2019,20
2020,18
2021,23
2022,12
2023,20
2024,25
2025,17
