Year,Nice_Days
1872,65
1873,73
1874,86
1875,80
1876,72
1877,75
1878,95
1879,107
1880,83
1881,73
1882,79
1883,92
1884,86
1885,101
1886,111
1887,89
1888,72
1889,77
1890,94
1891,90
1892,96
1893,86
1894,88
1895,80
1896,90
1897,94
1898,92
1899,94
1900,89
1901,80
1902,108
1903,106
1904,95
1905,103
1906,80
1907,89
1908,106
1909,100
1910,95
1911,75
1912,108
1913,98
1914,103
1915,92
1916,99
1917,82
1918,105
1919,95
1920,107
1921,110
1922,103
1923,98
1924,98
1925,80
1926,75
1927,114
1928,92
1929,100
1930,83
1931,92
1932,92
1933,79
1934,94
1935,96
1936,93
1937,83
1938,98
1939,78
1940,87
1941,94
1942,103
1943,83
1944,81
1945,99
1946,123
1947,95
1948,101
1949,103
1950,99
1951,106
1952,85
1953,107
1954,89
1955,103
1956,87
1957,85
1958,95
1959,78
1960,99
1961,88
1962,93
1963,111
1964,103
1965,90
1966,76
1967,108
1968,111
1969,96
1970,91
1971,110
1972,95
1973,106
1974,107
1975,95
1976,93
1977,97
1978,91
1979,104
1980,88
1981,100
1982,114
1983,83
1984,94
1985,115
1986,102
1987,98
1988,72
1989,101
1990,105
1991,90
1992,96
1993,70
1994,97
1995,88
1996,90
1997,98
1998,92
1999,99
2000,117
2001,120
2002,84
2003,97
2004,93
2005,88
2006,107
2007,103
2008,85
2009,89
2010,85
2011,81
2012,97
2013,89
2014,98
2015,85
2016,86
2017,99
2018,69
2019,91
2020,80
2021,112
2022,85
2023,107
2024,99
2025,105
