MonthDay,Nice_Day_Count,Percent_of_Years,Date
01-01,2,1.2987012987012987,2000-01-01
01-02,2,1.2987012987012987,2000-01-02
01-03,4,2.5974025974025974,2000-01-03
01-04,8,5.194805194805195,2000-01-04
01-05,3,1.948051948051948,2000-01-05
01-06,2,1.2987012987012987,2000-01-06
01-07,5,3.2467532467532463,2000-01-07
01-08,3,1.948051948051948,2000-01-08
01-09,4,2.5974025974025974,2000-01-09
01-11,2,1.2987012987012987,2000-01-11
01-12,1,0.6493506493506493,2000-01-12
01-13,5,3.2467532467532463,2000-01-13
01-14,4,2.5974025974025974,2000-01-14
01-15,3,1.948051948051948,2000-01-15
01-16,3,1.948051948051948,2000-01-16
01-17,3,1.948051948051948,2000-01-17
01-18,4,2.5974025974025974,2000-01-18
01-19,3,1.948051948051948,2000-01-19
01-20,1,0.6493506493506493,2000-01-20
01-21,3,1.948051948051948,2000-01-21
01-22,4,2.5974025974025974,2000-01-22
01-23,4,2.5974025974025974,2000-01-23
01-24,1,0.6493506493506493,2000-01-24
01-25,5,3.2467532467532463,2000-01-25
01-26,4,2.5974025974025974,2000-01-26
01-27,4,2.5974025974025974,2000-01-27
01-28,6,3.896103896103896,2000-01-28
01-29,5,3.2467532467532463,2000-01-29
01-30,3,1.948051948051948,2000-01-30
01-31,4,2.5974025974025974,2000-01-31
02-01,3,1.948051948051948,2000-02-01
02-02,1,0.6493506493506493,2000-02-02
02-03,1,0.6493506493506493,2000-02-03
02-04,1,0.6493506493506493,2000-02-04
02-05,5,3.2467532467532463,2000-02-05
02-06,1,0.6493506493506493,2000-02-06
02-07,1,0.6493506493506493,2000-02-07
02-08,6,3.896103896103896,2000-02-08
02-09,3,1.948051948051948,2000-02-09
02-10,3,1.948051948051948,2000-02-10
02-11,5,3.2467532467532463,2000-02-11
02-12,2,1.2987012987012987,2000-02-12
02-13,3,1.948051948051948,2000-02-13
02-14,5,3.2467532467532463,2000-02-14
02-15,5,3.2467532467532463,2000-02-15
02-16,5,3.2467532467532463,2000-02-16
02-17,6,3.896103896103896,2000-02-17
02-18,8,5.194805194805195,2000-02-18
02-19,6,3.896103896103896,2000-02-19
02-20,10,6.493506493506493,2000-02-20
02-21,10,6.493506493506493,2000-02-21
02-22,9,5.844155844155844,2000-02-22
02-23,8,5.194805194805195,2000-02-23
02-24,8,5.194805194805195,2000-02-24
02-25,8,5.194805194805195,2000-02-25
02-26,9,5.844155844155844,2000-02-26
02-27,5,3.2467532467532463,2000-02-27
02-28,11,7.142857142857142,2000-02-28
02-29,4,2.5974025974025974,2000-02-29
03-01,8,5.194805194805195,2000-03-01
03-02,9,5.844155844155844,2000-03-02
03-03,13,8.441558441558442,2000-03-03
03-04,8,5.194805194805195,2000-03-04
03-05,11,7.142857142857142,2000-03-05
03-06,10,6.493506493506493,2000-03-06
03-07,15,9.740259740259742,2000-03-07
03-08,14,9.090909090909092,2000-03-08
03-09,20,12.987012987012985,2000-03-09
03-10,17,11.03896103896104,2000-03-10
03-11,20,12.987012987012985,2000-03-11
03-12,21,13.636363636363635,2000-03-12
03-13,21,13.636363636363635,2000-03-13
03-14,20,12.987012987012985,2000-03-14
03-15,22,14.285714285714285,2000-03-15
03-16,22,14.285714285714285,2000-03-16
03-17,21,13.636363636363635,2000-03-17
03-18,22,14.285714285714285,2000-03-18
03-19,22,14.285714285714285,2000-03-19
03-20,22,14.285714285714285,2000-03-20
03-21,19,12.337662337662337,2000-03-21
03-22,25,16.233766233766232,2000-03-22
03-23,25,16.233766233766232,2000-03-23
03-24,33,21.428571428571427,2000-03-24
03-25,31,20.12987012987013,2000-03-25
03-26,30,19.480519480519483,2000-03-26
03-27,30,19.480519480519483,2000-03-27
03-28,27,17.532467532467532,2000-03-28
03-29,31,20.12987012987013,2000-03-29
03-30,35,22.727272727272727,2000-03-30
03-31,33,21.428571428571427,2000-03-31
04-01,35,22.727272727272727,2000-04-01
04-02,37,24.025974025974026,2000-04-02
04-03,45,29.22077922077922,2000-04-03
04-04,38,24.675324675324674,2000-04-04
04-05,41,26.623376623376622,2000-04-05
04-06,34,22.07792207792208,2000-04-06
04-07,42,27.27272727272727,2000-04-07
04-08,33,21.428571428571427,2000-04-08
04-09,33,21.428571428571427,2000-04-09
04-10,48,31.16883116883117,2000-04-10
04-11,48,31.16883116883117,2000-04-11
04-12,47,30.519480519480517,2000-04-12
04-13,48,31.16883116883117,2000-04-13
04-14,56,36.36363636363637,2000-04-14
04-15,45,29.22077922077922,2000-04-15
04-16,55,35.714285714285715,2000-04-16
04-17,52,33.76623376623377,2000-04-17
04-18,65,42.2077922077922,2000-04-18
04-19,58,37.66233766233766,2000-04-19
04-20,73,47.4025974025974,2000-04-20
04-21,65,42.2077922077922,2000-04-21
04-22,57,37.01298701298701,2000-04-22
04-23,64,41.55844155844156,2000-04-23
04-24,63,40.909090909090914,2000-04-24
04-25,55,35.714285714285715,2000-04-25
04-26,60,38.961038961038966,2000-04-26
04-27,55,35.714285714285715,2000-04-27
04-28,70,45.45454545454545,2000-04-28
04-29,74,48.05194805194805,2000-04-29
04-30,87,56.493506493506494,2000-04-30
05-01,77,50.0,2000-05-01
05-02,77,50.0,2000-05-02
05-03,67,43.506493506493506,2000-05-03
05-04,60,38.961038961038966,2000-05-04
05-05,68,44.15584415584416,2000-05-05
05-06,73,47.4025974025974,2000-05-06
05-07,71,46.103896103896105,2000-05-07
05-08,65,42.2077922077922,2000-05-08
05-09,70,45.45454545454545,2000-05-09
05-10,78,50.649350649350644,2000-05-10
05-11,73,47.4025974025974,2000-05-11
05-12,69,44.8051948051948,2000-05-12
05-13,74,48.05194805194805,2000-05-13
05-14,79,51.298701298701296,2000-05-14
05-15,74,48.05194805194805,2000-05-15
05-16,78,50.649350649350644,2000-05-16
05-17,79,51.298701298701296,2000-05-17
05-18,74,48.05194805194805,2000-05-18
05-19,66,42.857142857142854,2000-05-19
05-20,70,45.45454545454545,2000-05-20
05-21,74,48.05194805194805,2000-05-21
05-22,76,49.35064935064935,2000-05-22
05-23,77,50.0,2000-05-23
05-24,70,45.45454545454545,2000-05-24
05-25,83,53.896103896103895,2000-05-25
05-26,74,48.05194805194805,2000-05-26
05-27,69,44.8051948051948,2000-05-27
05-28,65,42.2077922077922,2000-05-28
05-29,73,47.4025974025974,2000-05-29
05-30,78,50.649350649350644,2000-05-30
05-31,73,47.4025974025974,2000-05-31
06-01,65,42.2077922077922,2000-06-01
06-02,68,44.15584415584416,2000-06-02
06-03,64,41.55844155844156,2000-06-03
06-04,67,43.506493506493506,2000-06-04
06-05,68,44.15584415584416,2000-06-05
06-06,62,40.25974025974026,2000-06-06
06-07,62,40.25974025974026,2000-06-07
06-08,67,43.506493506493506,2000-06-08
06-09,57,37.01298701298701,2000-06-09
06-10,65,42.2077922077922,2000-06-10
06-11,60,38.961038961038966,2000-06-11
06-12,48,31.16883116883117,2000-06-12
06-13,59,38.311688311688314,2000-06-13
