Month-Day,RecordHigh,RecordHighYear,RecordLow,RecordLowYear,NormalHigh,NormalLow
06-01,98,2011,45,"1938, and prior",81,63
06-02,97,"1925, and prior",43,1897,81,63
06-03,99,1925,45,1910,81,64
06-04,99,1925,46,"1929, and prior",82,64
06-05,100,1925,48,1926,82,64
06-06,97,1925,46,"1945, and prior",82,65
06-07,98,"2008, and prior",47,1894,83,65
06-08,99,2011,49,"1977, and prior",83,65
06-09,102,"2011, and prior",45,"1913, and prior",83,66
06-10,100,1964,46,1913,84,66
06-11,101,1911,45,1913,84,66
06-12,95,"2017, and prior",50,"1907, and prior",84,67
06-13,96,1954,51,1887,84,67
06-14,98,1994,49,1933,85,67
06-15,101,1994,47,1933,85,68
06-16,99,1994,50,1917,86,68
06-17,99,2022,50,1926,86,68
06-18,97,1944,51,"1965, and prior",86,68
06-19,99,1994,51,1909,86,69
06-20,99,1931,54,"1926, and prior",87,69
06-21,99,2012,51,1940,87,69
06-22,101,1988,51,"1992, and prior",87,70
06-23,99,2024,51,1918,87,70
06-24,100,2010,46,1902,88,70
06-25,100,1997,53,1902,88,70
06-26,101,1952,56,1979,88,70
06-27,99,2010,57,"1927, and prior",88,71
06-28,100,1969,54,1927,88,71
06-29,104,2012,54,1888,89,71
06-30,100,1959,50,1919,89,71
