Month-Day,RecordPrecip_in,RecordYear,NormalPrecip_in
01-01,1.52,2003,0.09
01-02,1.44,1979,0.09
01-03,1.87,1914,0.1
01-04,2.28,1886,0.09
01-05,1.44,1949,0.1
01-06,1.35,1905,0.09
01-07,1.33,1908,0.1
01-08,2.21,1884,0.09
01-09,2.24,2024,0.09
01-10,0.97,2026,0.09
01-11,1.72,1922,0.1
01-12,2.77,1915,0.09
01-13,1.26,1948,0.09
01-14,1.82,2005,0.1
01-15,1.18,1885,0.09
01-16,1.0,1909,0.1
01-17,1.09,1994,0.09
01-18,1.3,1980,0.09
01-19,1.41,1936,0.09
01-20,1.77,1937,0.09
01-21,1.41,1902,0.09
01-22,1.49,1987,0.09
01-23,1.79,1998,0.1
01-24,1.34,1923,0.09
01-25,1.99,2026,0.09
01-26,1.52,2011,0.09
01-27,0.99,1967,0.08
01-28,2.26,1922,0.1
01-29,1.02,1912,0.09
01-30,0.97,1939,0.09
01-31,1.18,1878,0.09
02-01,2.05,2008,0.09
02-02,2.11,1897,0.1
02-03,1.48,2014,0.09
02-04,2.02,1998,0.1
02-05,0.8,1908,0.09
02-06,2.29,1896,0.09
02-07,1.29,1951,0.09
02-08,1.63,1961,0.09
02-09,1.92,1885,0.09
02-10,1.06,2018,0.09
02-11,1.91,1983,0.09
02-12,1.37,1985,0.09
02-13,1.77,1971,0.09
02-14,0.98,1940,0.09
02-15,1.38,1958,0.1
02-16,2.14,2003,0.09
02-17,0.91,1982,0.1
02-18,1.1,1960,0.1
02-19,1.67,1927,0.09
02-20,1.45,1921,0.09
02-21,1.44,1902,0.09
02-22,2.27,2003,0.1
02-23,1.34,1994,0.1
02-24,1.67,1979,0.1
02-25,1.19,1886,0.09
02-26,1.21,1912,0.1
02-27,0.91,1958,0.09
02-28,1.13,1902,0.1
02-29,1.61,1892,
03-01,0.92,1954,0.1
03-02,1.65,1994,0.1
03-03,1.75,1909,0.1
03-04,1.24,"1993, and prior",0.1
03-05,1.52,1965,0.1
03-06,1.52,1932,0.11
03-07,1.32,"1880, and prior",0.11
03-08,1.97,1995,0.12
03-09,2.79,1881,0.11
03-10,1.72,1871,0.11
03-11,1.65,1888,0.11
03-12,2.6,1878,0.11
03-13,2.29,1993,0.12
03-14,1.66,1940,0.12
03-15,1.45,1953,0.12
03-16,1.79,2007,0.12
03-17,1.34,1990,0.12
03-18,1.0,1983,0.12
03-19,2.12,1958,0.12
03-20,1.95,2003,0.12
03-21,2.15,1918,0.11
03-22,1.83,1891,0.12
03-23,1.85,2005,0.11
03-24,1.69,2021,0.12
03-25,1.6,1876,0.11
03-26,2.16,1978,0.12
03-27,1.81,1919,0.11
03-28,1.63,1994,0.11
03-29,1.64,1912,0.12
03-30,1.59,1974,0.12
03-31,1.82,1886,0.11
04-01,1.67,1948,0.11
04-02,1.79,2005,0.11
04-03,2.28,1901,0.11
04-04,0.97,1984,0.1
04-05,1.32,1905,0.1
04-06,2.23,1889,0.1
04-07,1.04,1988,0.1
04-08,2.13,1940,0.11
04-09,1.53,1906,0.11
04-10,1.57,1918,0.1
04-11,1.93,1919,0.1
04-12,1.99,1913,0.1
04-13,2.33,2020,0.1
04-14,3.04,1970,0.1
04-15,2.41,2007,0.1
04-16,2.09,1929,0.1
04-17,2.74,1910,0.1
04-18,1.4,1924,0.11
04-19,1.75,1877,0.1
04-20,1.71,1940,0.11
04-21,1.58,1929,0.11
04-22,1.47,1883,0.11
04-23,1.38,1921,0.11
04-24,1.23,1977,0.11
04-25,1.5,1889,0.11
04-26,3.21,1889,0.12
04-27,1.64,1954,0.12
04-28,1.53,2023,0.11
04-29,2.05,1880,0.12
04-30,2.7,2014,0.12
05-01,1.42,1976,0.12
05-02,1.36,1949,0.12
05-03,2.41,1936,0.13
05-04,1.77,1922,0.13
05-05,3.24,1953,0.12
05-06,1.27,1912,0.13
05-07,2.35,1886,0.12
05-08,2.14,1886,0.13
05-09,2.22,2008,0.12
05-10,1.38,1990,0.13
05-11,2.63,2008,0.12
05-12,2.11,1932,0.13
05-13,2.81,1897,0.13
05-14,1.49,2018,0.13
05-15,1.28,1949,0.13
05-16,2.25,2014,0.12
05-17,1.24,1947,0.13
05-18,1.38,1936,0.13
05-19,3.15,1900,0.13
05-20,2.63,2005,0.13
05-21,1.79,1909,0.13
05-22,2.2,1975,0.13
05-23,2.34,1913,0.13
05-24,1.97,1897,0.13
05-25,2.17,1997,0.13
05-26,1.65,2009,0.13
05-27,1.5,1885,0.13
05-28,1.56,1982,0.12
05-29,1.38,1990,0.13
05-30,1.68,1948,0.13
05-31,2.25,1889,0.12
06-01,2.49,2015,0.13
06-02,3.48,1900,0.12
06-03,1.97,1963,0.13
06-04,1.49,2008,0.13
06-05,1.58,1957,0.13
06-06,1.61,1877,0.14
06-07,3.47,1947,0.13
06-08,2.84,1900,0.14
06-09,2.19,1990,0.13
06-10,2.77,2013,0.14
06-11,2.08,1884,0.13
06-12,2.23,1968,0.14
06-13,2.04,1939,0.15
06-14,2.69,1917,0.15
06-15,2.28,1880,0.14
06-16,1.64,2001,0.14
06-17,2.22,1878,0.15
06-18,1.87,1878,0.14
06-19,2.01,1944,0.13
06-20,2.37,2015,0.14
06-21,6.11,1972,0.14
06-22,4.16,1886,0.14
06-23,1.34,1989,0.14
06-24,1.66,1886,0.15
06-25,5.19,2006,0.15
06-26,4.22,2006,0.15
06-27,2.75,2015,0.15
06-28,2.95,1914,0.15
06-29,2.05,1963,0.15
06-30,1.65,1921,0.15
07-01,2.05,1884,0.16
07-02,2.88,1920,0.15
07-03,1.72,"1978, and prior",0.15
07-04,2.18,2004,0.14
07-05,3.68,1905,0.14
07-06,1.26,1971,0.14
07-07,2.04,2020,0.14
07-08,3.44,2019,0.15
07-09,4.69,1970,0.15
07-10,2.98,1888,0.15
07-11,1.79,1906,0.14
07-12,2.93,1903,0.14
07-13,3.37,1922,0.15
07-14,2.93,1912,0.14
07-15,1.82,1921,0.15
07-16,1.38,2022,0.15
07-17,2.79,2018,0.15
07-18,2.47,1919,0.14
07-19,1.51,1922,0.14
07-20,1.45,1969,0.13
07-21,4.0,2018,0.14
07-22,4.35,1969,0.14
07-23,2.6,1940,0.13
07-24,2.2,1904,0.13
07-25,3.27,1917,0.12
07-26,3.25,1886,0.13
07-27,2.32,1873,0.13
07-28,3.31,2017,0.12
07-29,2.34,1877,0.13
07-30,4.25,1878,0.13
07-31,3.18,1889,0.13
08-01,2.84,1948,0.11
08-02,6.14,1944,0.12
08-03,1.62,1971,0.11
08-04,2.48,2020,0.12
08-05,2.15,1878,0.11
08-06,2.59,1946,0.11
08-07,1.85,1885,0.11
08-08,4.03,1942,0.1
08-09,2.71,1905,0.11
08-10,1.64,1878,0.1
08-11,5.97,1928,0.09
08-12,5.44,1955,0.1
08-13,1.73,1896,0.1
08-14,2.52,1927,0.09
08-15,1.16,2016,0.1
08-16,1.97,1872,0.1
08-17,2.39,1879,0.1
08-18,1.67,1875,0.1
08-19,3.74,1950,0.1
08-20,4.83,1963,0.1
08-21,2.46,2018,0.1
08-22,1.41,1955,0.1
08-23,6.39,1933,0.11
08-24,3.47,1967,0.11
08-25,3.92,1905,0.11
08-26,2.03,1999,0.11
08-27,3.79,1971,0.11
08-28,3.09,1914,0.11
08-29,2.84,1875,0.1
08-30,2.01,1978,0.11
08-31,1.98,1940,0.1
09-01,5.16,1922,0.12
09-02,2.47,1926,0.13
09-03,1.67,1974,0.13
09-04,4.49,1939,0.13
09-05,4.45,1935,0.13
09-06,3.5,2008,0.12
09-07,3.78,1934,0.13
09-08,2.93,1969,0.13
09-09,1.59,2018,0.13
09-10,2.88,2020,0.13
09-11,1.85,1882,0.13
09-12,4.02,1934,0.13
09-13,2.51,1944,0.13
09-14,4.07,1966,0.14
09-15,2.52,1904,0.14
09-16,4.76,1976,0.15
09-17,3.26,1876,0.14
09-18,2.28,2003,0.14
09-19,1.23,1875,0.14
09-20,1.43,1938,0.13
09-21,2.18,1979,0.13
09-22,1.53,1994,0.12
09-23,2.4,1907,0.12
09-24,1.98,1883,0.13
09-25,3.46,1975,0.12
09-26,2.25,1902,0.13
09-27,3.17,1985,0.13
09-28,2.46,2004,0.13
09-29,2.68,1924,0.13
09-30,4.66,2010,0.14
10-01,2.27,1915,0.12
10-02,1.74,1976,0.12
10-03,1.92,1927,0.12
10-04,3.98,1877,0.12
10-05,2.53,1932,0.12
10-06,1.47,1957,0.12
10-07,3.63,2005,0.12
10-08,3.67,2005,0.12
10-09,1.02,1977,0.11
10-10,2.15,1971,0.12
10-11,2.76,2013,0.11
10-12,1.53,1927,0.11
10-13,1.82,1893,0.12
10-14,3.36,1995,0.12
10-15,2.59,1942,0.12
10-16,1.38,2002,0.12
10-17,2.52,1932,0.12
10-18,1.67,1990,0.12
10-19,2.73,1906,0.12
10-20,2.97,1910,0.12
10-21,2.02,1904,0.13
10-22,1.54,"1937, and prior",0.12
10-23,3.31,1878,0.11
10-24,2.01,1926,0.12
10-25,3.12,1872,0.12
10-26,2.65,2007,0.11
10-27,1.75,1937,0.12
10-28,2.03,1972,0.11
10-29,3.85,2012,0.12
10-30,1.1,2025,0.12
10-31,1.3,1895,0.11
11-01,1.79,1932,0.1
11-02,0.99,1940,0.11
11-03,0.93,1962,0.11
11-04,2.3,1970,0.1
11-05,1.44,2018,0.11
11-06,2.58,1963,0.1
11-07,2.0,1997,0.1
11-08,2.95,1943,0.1
11-09,1.4,1889,0.1
11-10,1.77,1990,0.1
11-11,2.02,2020,0.09
11-12,2.06,2004,0.1
11-13,1.76,1904,0.08
11-14,1.56,1972,0.09
11-15,1.9,1871,0.09
11-16,2.17,1920,0.09
11-17,2.04,1927,0.09
11-18,0.9,1926,0.09
11-19,1.47,2003,0.09
11-20,1.83,1952,0.1
11-21,2.52,1952,0.09
11-22,1.23,1985,0.1
11-23,1.52,1884,0.09
11-24,2.83,1877,0.1
11-25,1.78,1950,0.1
