Month-Day,RecordPrecip_in,RecordYear,NormalPrecip_in
06-01,2.49,2015,0.13
06-02,3.48,1900,0.12
06-03,1.97,1963,0.13
06-04,1.49,2008,0.13
06-05,1.58,1957,0.13
06-06,1.61,1877,0.14
06-07,3.47,1947,0.13
06-08,2.84,1900,0.14
06-09,2.19,1990,0.13
06-10,2.77,2013,0.14
06-11,2.08,1884,0.13
06-12,2.23,1968,0.14
06-13,2.04,1939,0.15
06-14,2.69,1917,0.15
06-15,2.28,1880,0.14
06-16,1.64,2001,0.14
06-17,2.22,1878,0.15
06-18,1.87,1878,0.14
06-19,2.01,1944,0.13
06-20,2.37,2015,0.14
06-21,6.11,1972,0.14
06-22,4.16,1886,0.14
06-23,1.34,1989,0.14
06-24,1.66,1886,0.15
06-25,5.19,2006,0.15
06-26,4.22,2006,0.15
06-27,2.75,2015,0.15
06-28,2.95,1914,0.15
06-29,2.05,1963,0.15
06-30,1.65,1921,0.15
