SeasonLabel,Snow,30Year_RollingAvg
1888-1889,12.5,
1889-1890,6.5,
1890-1891,37.1,
1891-1892,41.7,
1892-1893,31.0,
1893-1894,25.4,
1894-1895,24.8,
1895-1896,9.299999999999999,
1896-1897,16.2,
1897-1898,11.0,
1898-1899,54.4,
1899-1900,35.6,
1900-1901,9.1,
1901-1902,14.6,
1902-1903,8.2,
1903-1904,20.2,
1904-1905,46.8,
1905-1906,25.7,
1906-1907,28.3,
1907-1908,18.3,
1908-1909,46.0,
1909-1910,20.2,
1910-1911,40.7,
1911-1912,22.5,
1912-1913,8.799999999999999,
1913-1914,30.1,
1914-1915,15.5,
1915-1916,17.9,
1916-1917,19.1,
1917-1918,38.9,24.546666666666667
1918-1919,3.3,24.240000000000002
1919-1920,17.4,24.603333333333335
1920-1921,9.1,23.67
1921-1922,46.5,23.830000000000002
1922-1923,16.0,23.330000000000002
1923-1924,22.8,23.243333333333332
1924-1925,20.2,23.09
1925-1926,17.9,23.37666666666667
1926-1927,8.8,23.13
1927-1928,13.7,23.220000000000002
1928-1929,8.0,21.673333333333336
1929-1930,20.4,21.166666666666668
1930-1931,2.5,20.946666666666665
1931-1932,5.0,20.626666666666665
1932-1933,23.8,21.146666666666665
1933-1934,32.5,21.556666666666665
1934-1935,32.4,21.076666666666664
1935-1936,33.0,21.319999999999997
1936-1937,20.299999999999997,21.053333333333335
1937-1938,5.6,20.63
1938-1939,15.1,19.6
1939-1940,25.3,19.77
1940-1941,17.9,19.009999999999998
1941-1942,13.6,18.71333333333333
1942-1943,20.5,19.103333333333335
1943-1944,7.6,18.353333333333335
1944-1945,8.2,18.11
1945-1946,21.6,18.233333333333334
1946-1947,20.0,18.263333333333332
1947-1948,23.5,17.75
1948-1949,15.8,18.166666666666664
1949-1950,3.4,17.7
1950-1951,10.2,17.736666666666665
1951-1952,10.2,16.526666666666667
1952-1953,8.3,16.27
1953-1954,18.0,16.11
1954-1955,6.6,15.656666666666666
1955-1956,11.3,15.436666666666667
1956-1957,14.200000000000001,15.616666666666667
1957-1958,40.4,16.506666666666668
1958-1959,4.9,16.403333333333332
1959-1960,24.3,16.533333333333335
1960-1961,40.3,17.793333333333333
1961-1962,15.0,18.126666666666665
1962-1963,21.4,18.046666666666667
1963-1964,33.6,18.083333333333332
1964-1965,17.1,17.573333333333334
1965-1966,28.4,17.42
1966-1967,37.1,17.98
1967-1968,21.4,18.506666666666664
1968-1969,9.1,18.30666666666667
1969-1970,14.0,17.93
1970-1971,11.700000000000001,17.723333333333336
1971-1972,16.8,17.83
1972-1973,0.1,17.15
1973-1974,16.7,17.453333333333333
1974-1975,12.799999999999999,17.606666666666666
1975-1976,2.2,16.96
1976-1977,11.1,16.663333333333334
1977-1978,22.7,16.636666666666667
1978-1979,37.7,17.366666666666667
1979-1980,20.1,17.923333333333336
1980-1981,4.5,17.733333333333334
1981-1982,22.5,18.143333333333334
1982-1983,27.599999999999998,18.786666666666665
1983-1984,8.6,18.473333333333333
1984-1985,10.3,18.59666666666667
1985-1986,15.4,18.733333333333334
1986-1987,31.1,19.296666666666667
1987-1988,25.0,18.783333333333335
1988-1989,5.7,18.81
1989-1990,15.3,18.51
1990-1991,8.1,17.436666666666664
1991-1992,6.6,17.15666666666667
1992-1993,11.7,16.833333333333332
1993-1994,13.200000000000001,16.153333333333332
1994-1995,10.1,15.92
1995-1996,46.0,16.506666666666668
1996-1997,6.7,15.493333333333334
1997-1998,0.1,14.783333333333333
1998-1999,11.600000000000001,14.866666666666667
1999-2000,15.4,14.913333333333332
2000-2001,7.4,14.770000000000001
2001-2002,3.2,14.316666666666666
2002-2003,40.4,15.659999999999998
2003-2004,12.4,15.516666666666667
2004-2005,12.5,15.506666666666666
2005-2006,13.600000000000001,15.886666666666665
2006-2007,9.5,15.833333333333334
2007-2008,4.9,15.24
2008-2009,7.5,14.233333333333333
2009-2010,56.1,15.433333333333334
2010-2011,10.1,15.620000000000001
2011-2012,2.0,14.936666666666667
2012-2013,3.1,14.120000000000001
2013-2014,32.0,14.9
2014-2015,18.3,15.166666666666666
2015-2016,22.2,15.393333333333334
2016-2017,3.4,14.47
2017-2018,7.8,13.896666666666668
2018-2019,16.900000000000002,14.27
2019-2020,0.6,13.780000000000001
2020-2021,5.3999999999999995,13.69
2021-2022,13.200000000000001,13.909999999999998
2022-2023,0.4,13.533333333333333
2023-2024,8.0,13.360000000000001
2024-2025,14.9,13.52
2025-2026,10.6,12.340000000000002
