Date,SnowDepth,Year,Month,Day
1888-12-25,0.0,1888,12,25
1889-12-25,0.0,1889,12,25
1890-12-25,0.0,1890,12,25
1891-12-25,0.0,1891,12,25
1892-12-25,0.0,1892,12,25
1893-12-25,0.0,1893,12,25
1894-12-25,0.0,1894,12,25
1895-12-25,0.0,1895,12,25
1896-12-25,0.0,1896,12,25
1897-12-25,0.0,1897,12,25
1898-12-25,0.0,1898,12,25
1899-12-25,0.0,1899,12,25
1900-12-25,0.0,1900,12,25
1901-12-25,0.0,1901,12,25
1902-12-25,0.0,1902,12,25
1903-12-25,0.0,1903,12,25
1904-12-25,0.0,1904,12,25
1905-12-25,0.0,1905,12,25
1906-12-25,0.0,1906,12,25
1907-12-25,0.0,1907,12,25
1908-12-25,6.0,1908,12,25
1909-12-25,3.0,1909,12,25
1910-12-25,0.0,1910,12,25
1911-12-25,0.0,1911,12,25
1912-12-25,5.0,1912,12,25
1913-12-25,0.0,1913,12,25
1914-12-25,3.0,1914,12,25
1915-12-25,0.0,1915,12,25
1916-12-25,0.0,1916,12,25
1917-12-25,0.0,1917,12,25
1918-12-25,0.0,1918,12,25
1919-12-25,0.0,1919,12,25
1920-12-25,0.0,1920,12,25
1921-12-25,0.0,1921,12,25
1922-12-25,0.0,1922,12,25
1923-12-25,0.0,1923,12,25
1924-12-25,0.0,1924,12,25
1925-12-25,0.0,1925,12,25
1926-12-25,0.0,1926,12,25
1927-12-25,0.0,1927,12,25
1928-12-25,0.0,1928,12,25
1929-12-25,1.0,1929,12,25
1930-12-25,0.0,1930,12,25
1931-12-25,0.0,1931,12,25
1932-12-25,0.0,1932,12,25
1933-12-25,0.0,1933,12,25
1934-12-25,0.0,1934,12,25
1935-12-25,2.0,1935,12,25
1936-12-25,0.0,1936,12,25
1937-12-25,0.0,1937,12,25
1938-12-25,0.0,1938,12,25
1939-12-25,0.0,1939,12,25
1940-12-25,0.0,1940,12,25
1941-12-25,0.0,1941,12,25
1942-12-25,0.0,1942,12,25
1943-12-25,0.0,1943,12,25
1944-12-25,0.0,1944,12,25
1945-12-25,3.0,1945,12,25
1946-12-25,0.0,1946,12,25
1947-12-25,0.0,1947,12,25
1948-12-25,0.0,1948,12,25
1949-12-25,0.0,1949,12,25
1950-12-25,0.0,1950,12,25
1951-12-25,0.0,1951,12,25
1952-12-25,0.0,1952,12,25
1953-12-25,0.0,1953,12,25
1954-12-25,0.0,1954,12,25
1955-12-25,0.0,1955,12,25
1956-12-25,0.0,1956,12,25
1957-12-25,0.0,1957,12,25
1958-12-25,0.0,1958,12,25
1959-12-25,0.0,1959,12,25
1960-12-25,1.0,1960,12,25
1961-12-25,0.0,1961,12,25
1962-12-25,5.0,1962,12,25
1963-12-25,4.0,1963,12,25
1964-12-25,0.0,1964,12,25
1965-12-25,0.0,1965,12,25
1966-12-25,7.0,1966,12,25
1967-12-25,0.0,1967,12,25
1968-12-25,0.0,1968,12,25
1969-12-25,0.0,1969,12,25
1970-12-25,0.0,1970,12,25
1971-12-25,0.0,1971,12,25
1972-12-25,0.0,1972,12,25
1973-12-25,0.0,1973,12,25
1974-12-25,0.0,1974,12,25
1975-12-25,0.0,1975,12,25
1976-12-25,0.0,1976,12,25
1977-12-25,0.0,1977,12,25
1978-12-25,0.0,1978,12,25
1979-12-25,0.0,1979,12,25
1980-12-25,0.0,1980,12,25
1981-12-25,0.0,1981,12,25
1982-12-25,0.0,1982,12,25
1983-12-25,0.0,1983,12,25
1984-12-25,0.0,1984,12,25
1985-12-25,0.0,1985,12,25
1986-12-25,0.0,1986,12,25
1987-12-25,0.0,1987,12,25
1988-12-25,0.0,1988,12,25
1989-12-25,2.0,1989,12,25
1990-12-25,0.0,1990,12,25
1991-12-25,0.0,1991,12,25
1992-12-25,0.0,1992,12,25
1993-12-25,0.0,1993,12,25
1994-12-25,0.0,1994,12,25
1995-12-25,0.0,1995,12,25
1996-12-25,0.0,1996,12,25
1997-12-25,0.0,1997,12,25
1998-12-25,0.0,1998,12,25
1999-12-25,0.0,1999,12,25
2000-12-25,0.0,2000,12,25
2001-12-25,0.0,2001,12,25
2002-12-25,0.0,2002,12,25
2003-12-25,0.0,2003,12,25
2004-12-25,0.0,2004,12,25
2005-12-25,0.0,2005,12,25
2006-12-25,0.0,2006,12,25
2007-12-25,0.0,2007,12,25
2008-12-25,0.0,2008,12,25
2009-12-25,7.0,2009,12,25
2010-12-25,0.0,2010,12,25
2011-12-25,0.0,2011,12,25
2012-12-25,0.0,2012,12,25
2013-12-25,0.0,2013,12,25
2014-12-25,0.0,2014,12,25
2015-12-25,0.0,2015,12,25
2016-12-25,0.0,2016,12,25
2017-12-25,0.0,2017,12,25
2018-12-25,0.0,2018,12,25
2019-12-25,0.0,2019,12,25
2020-12-25,0.0,2020,12,25
2021-12-25,0.0,2021,12,25
2022-12-25,0.0,2022,12,25
2023-12-25,0.0,2023,12,25
2024-12-25,0.0,2024,12,25
2025-12-25,0.0,2025,12,25
