MonthDay,Count_1,Count_3,Count_6
Nov 01,0,0,0
Nov 02,0,0,0
Nov 03,0,0,0
Nov 04,0,0,0
Nov 05,0,0,0
Nov 06,0,0,0
Nov 07,1,1,0
Nov 08,0,0,0
Nov 09,0,0,0
Nov 10,0,0,0
Nov 11,1,0,0
Nov 12,1,1,1
Nov 13,2,1,1
Nov 14,2,1,0
Nov 15,1,0,0
Nov 16,1,0,0
Nov 17,0,0,0
Nov 18,0,0,0
Nov 19,1,0,0
Nov 20,1,0,0
Nov 21,0,0,0
Nov 22,0,0,0
Nov 23,2,1,0
Nov 24,3,1,0
Nov 25,4,1,1
Nov 26,2,1,1
Nov 27,3,2,0
Nov 28,3,0,0
Nov 29,2,0,0
Nov 30,2,0,0
Dec 01,2,1,1
Dec 02,3,1,0
Dec 03,2,0,0
Dec 04,3,2,0
Dec 05,8,4,1
Dec 06,9,5,2
Dec 07,7,2,1
Dec 08,2,2,1
Dec 09,5,2,0
Dec 10,8,3,2
Dec 11,8,2,1
Dec 12,13,4,1
Dec 13,10,6,1
Dec 14,13,9,1
Dec 15,14,6,0
Dec 16,13,6,1
Dec 17,10,5,3
Dec 18,12,6,3
Dec 19,14,9,4
Dec 20,14,8,3
Dec 21,13,5,2
Dec 22,12,7,2
Dec 23,13,4,2
Dec 24,14,6,3
Dec 25,13,9,3
Dec 26,15,10,1
Dec 27,14,4,0
Dec 28,16,3,0
Dec 29,18,2,1
Dec 30,11,2,2
Dec 31,12,2,1
Jan 01,16,8,2
Jan 02,17,7,2
Jan 03,13,6,1
Jan 04,16,6,1
Jan 05,13,5,0
Jan 06,14,4,1
Jan 07,19,7,3
Jan 08,22,7,2
Jan 09,21,10,2
Jan 10,18,9,2
Jan 11,23,10,2
Jan 12,17,9,4
Jan 13,19,11,4
Jan 14,18,13,6
Jan 15,19,11,5
Jan 16,22,12,4
Jan 17,26,14,2
Jan 18,24,10,1
Jan 19,22,8,0
Jan 20,26,9,1
Jan 21,22,8,2
Jan 22,21,10,3
Jan 23,23,13,6
Jan 24,22,11,5
Jan 25,24,12,5
Jan 26,25,12,7
Jan 27,29,16,8
Jan 28,32,22,10
Jan 29,28,22,9
Jan 30,30,24,10
Jan 31,36,22,9
Feb 01,33,19,6
Feb 02,35,19,6
Feb 03,29,15,5
Feb 04,25,14,3
Feb 05,24,16,4
Feb 06,26,17,6
Feb 07,29,18,6
Feb 08,29,16,5
Feb 09,29,17,6
Feb 10,28,13,7
Feb 11,31,16,6
Feb 12,26,16,10
Feb 13,27,15,9
Feb 14,26,15,6
Feb 15,26,12,5
Feb 16,25,11,9
Feb 17,28,15,7
Feb 18,23,11,6
Feb 19,20,11,6
Feb 20,21,11,5
Feb 21,20,11,4
Feb 22,19,9,2
Feb 23,15,10,2
Feb 24,12,6,0
Feb 25,16,7,1
Feb 26,12,3,2
Feb 27,9,4,1
Feb 28,8,4,1
Mar 01,8,5,0
Mar 02,12,3,1
Mar 03,9,3,2
Mar 04,8,4,1
Mar 05,5,2,1
Mar 06,9,5,1
Mar 07,9,4,1
Mar 08,10,5,1
Mar 09,9,2,0
Mar 10,10,4,2
Mar 11,8,3,0
Mar 12,6,2,0
Mar 13,6,1,0
Mar 14,6,1,0
Mar 15,5,3,1
Mar 16,5,4,0
Mar 17,5,2,1
Mar 18,4,2,1
Mar 19,3,0,0
Mar 20,3,2,0
Mar 21,5,3,0
Mar 22,2,1,0
Mar 23,1,1,0
Mar 24,2,0,0
Mar 25,2,0,0
Mar 26,0,0,0
Mar 27,0,0,0
Mar 28,0,0,0
Mar 29,1,1,1
Mar 30,2,0,0
Mar 31,1,0,0
Apr 01,2,1,1
Apr 02,1,0,0
Apr 03,1,1,0
Apr 04,0,0,0
Apr 05,0,0,0
Apr 06,0,0,0
Apr 07,0,0,0
Apr 08,1,0,0
Apr 09,0,0,0
Apr 10,0,0,0
