Winter,ENSO_Phase,StormCount
1950-1951,Neutral,6
1951-1952,El Nino,6
1952-1953,El Nino,7
1953-1954,El Nino,5
1954-1955,La Nina,7
1955-1956,La Nina,9
1956-1957,Neutral,11
1957-1958,El Nino,10
1958-1959,El Nino,3
1959-1960,Neutral,6
1960-1961,Neutral,7
1961-1962,Neutral,12
1962-1963,Neutral,10
1963-1964,El Nino,9
1964-1965,La Nina,9
1965-1966,El Nino,5
1966-1967,Neutral,10
1967-1968,Neutral,10
1968-1969,El Nino,6
1969-1970,El Nino,8
1970-1971,La Nina,6
1971-1972,La Nina,8
1972-1973,El Nino,1
1973-1974,La Nina,5
1974-1975,La Nina,7
1975-1976,La Nina,4
1976-1977,El Nino,7
1977-1978,El Nino,12
1978-1979,Neutral,10
1979-1980,El Nino,8
1980-1981,Neutral,3
1981-1982,Neutral,9
1982-1983,El Nino,3
1983-1984,La Nina,6
1984-1985,La Nina,7
1985-1986,Neutral,10
1986-1987,El Nino,4
1987-1988,El Nino,5
1988-1989,La Nina,8
1989-1990,Neutral,9
1990-1991,Neutral,4
1991-1992,El Nino,3
1992-1993,Neutral,4
1993-1994,Neutral,11
1994-1995,El Nino,4
1995-1996,La Nina,11
1996-1997,Neutral,6
1997-1998,El Nino,1
1998-1999,La Nina,6
1999-2000,La Nina,6
2000-2001,La Nina,5
2001-2002,Neutral,3
2002-2003,El Nino,10
2003-2004,Neutral,6
2004-2005,El Nino,10
2005-2006,La Nina,5
2006-2007,El Nino,9
2007-2008,La Nina,3
2008-2009,La Nina,3
2009-2010,El Nino,9
2010-2011,La Nina,12
2011-2012,La Nina,3
2012-2013,Neutral,6
2013-2014,Neutral,12
2014-2015,El Nino,10
2015-2016,El Nino,5
2016-2017,La Nina,3
2017-2018,La Nina,8
2018-2019,El Nino,8
2019-2020,El Nino,3
2020-2021,La Nina,6
2021-2022,La Nina,5
2022-2023,La Nina,1
2023-2024,El Nino,4
2024-2025,Neutral,7
2025-2026,Neutral,8
