Winter,StormCount,TotalSnow,ENSO_Phase,ENSO_Type
2009-2010,9,56.1,El Nino,Moderate
1995-1996,11,46.0,La Nina,Moderate
1957-1958,10,40.4,El Nino,Strong
2002-2003,10,40.4,El Nino,Moderate
1960-1961,7,40.3,Neutral,Neutral
1978-1979,10,37.7,Neutral,Neutral
1966-1967,10,37.1,Neutral,Neutral
1963-1964,9,33.6,El Nino,Moderate
2013-2014,12,32.0,Neutral,Neutral
1986-1987,4,31.1,El Nino,Moderate
1965-1966,5,28.4,El Nino,Strong
1982-1983,3,27.6,El Nino,Very Strong
1987-1988,5,25.0,El Nino,Strong
1959-1960,6,24.3,Neutral,Neutral
1977-1978,12,22.7,El Nino,Weak
1981-1982,9,22.5,Neutral,Neutral
2015-2016,5,22.2,El Nino,Very Strong
1962-1963,10,21.4,Neutral,Neutral
1967-1968,10,21.4,Neutral,Neutral
1979-1980,8,20.1,El Nino,Weak
2014-2015,10,18.3,El Nino,Weak
1953-1954,5,18.0,El Nino,Weak
1964-1965,9,17.1,La Nina,Weak
2018-2019,8,16.9,El Nino,Weak
1971-1972,8,16.8,La Nina,Weak
1973-1974,5,16.7,La Nina,Strong
1999-2000,6,15.4,La Nina,Strong
1985-1986,10,15.4,Neutral,Neutral
1989-1990,9,15.3,Neutral,Neutral
1961-1962,12,15.0,Neutral,Neutral
2024-2025,7,14.9,Neutral,Neutral
1956-1957,11,14.2,Neutral,Neutral
1969-1970,8,14.0,El Nino,Weak
2005-2006,5,13.6,La Nina,Weak
1993-1994,11,13.2,Neutral,Neutral
2021-2022,5,13.2,La Nina,Moderate
1974-1975,7,12.8,La Nina,Weak
2004-2005,10,12.5,El Nino,Weak
2003-2004,6,12.4,Neutral,Neutral
1970-1971,6,11.7,La Nina,Moderate
1992-1993,4,11.7,Neutral,Neutral
1998-1999,6,11.6,La Nina,Strong
1955-1956,9,11.3,La Nina,Moderate
1976-1977,7,11.1,El Nino,Weak
2025-2026,8,10.6,Neutral,Neutral
1984-1985,7,10.3,La Nina,Weak
1950-1951,6,10.2,Neutral,Neutral
1951-1952,6,10.2,El Nino,Moderate
2010-2011,12,10.1,La Nina,Strong
1994-1995,4,10.1,El Nino,Moderate
2006-2007,9,9.5,El Nino,Weak
1968-1969,6,9.1,El Nino,Moderate
1983-1984,6,8.6,La Nina,Weak
1952-1953,7,8.3,El Nino,Weak
1990-1991,4,8.1,Neutral,Neutral
2023-2024,4,8.0,El Nino,Strong
2017-2018,8,7.8,La Nina,Weak
2008-2009,3,7.5,La Nina,Weak
2000-2001,5,7.4,La Nina,Weak
1996-1997,6,6.7,Neutral,Neutral
1991-1992,3,6.6,El Nino,Strong
1954-1955,7,6.6,La Nina,Weak
1988-1989,8,5.7,La Nina,Strong
2020-2021,6,5.4,La Nina,Moderate
1958-1959,3,4.9,El Nino,Weak
2007-2008,3,4.9,La Nina,Strong
1980-1981,3,4.5,Neutral,Neutral
2016-2017,3,3.4,La Nina,Weak
2001-2002,3,3.2,Neutral,Neutral
2012-2013,6,3.1,Neutral,Neutral
1975-1976,4,2.2,La Nina,Strong
2011-2012,3,2.0,La Nina,Moderate
2019-2020,3,0.6,El Nino,Weak
2022-2023,1,0.4,La Nina,Weak
1972-1973,1,0.1,El Nino,Strong
1997-1998,1,0.1,El Nino,Very Strong
