near-normal,DATE,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4
0.0,1895-01-01,,,,,,0.0,0.0,0.0,0.0,0.0
0.0,1895-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1895-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1895-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1895-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1895-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1895-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1895-08-01,21.61,11.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.17,1895-09-01,54.35333333333333,39.75666666666667,8.376666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.77,1895-10-01,86.41333333333334,67.06,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.82,1895-11-01,97.13333333333334,85.40666666666668,19.596666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.01,1895-12-01,97.71333333333332,90.55333333333333,41.846666666666664,19.096666666666668,4.263333333333333,0.0,0.0,0.0,0.0,0.0
0.0,1896-01-01,98.17999999999999,93.77333333333333,53.086666666666666,30.133333333333336,4.723333333333333,0.0,0.0,0.0,0.0,0.0
2.42,1896-02-01,98.14666666666666,93.8,66.26333333333334,43.10333333333333,8.136666666666667,0.0,0.0,0.0,0.0,0.0
3.13,1896-03-01,98.10000000000001,92.01666666666667,59.99000000000001,40.123333333333335,12.6,0.0,0.0,0.0,0.0,0.0
0.17,1896-04-01,98.07333333333334,90.41000000000001,57.01666666666667,32.846666666666664,12.14,0.0,0.0,0.0,0.0,0.0
2.52,1896-05-01,97.07333333333334,86.51333333333332,38.970000000000006,19.87666666666667,8.726666666666667,0.0,0.0,0.0,0.0,0.0
6.1,1896-06-01,74.98666666666666,54.97333333333333,14.616666666666672,3.76,0.0,0.0,0.0,0.0,0.0,0.0
66.34,1896-07-01,60.24333333333334,28.19,1.6866666666666712,0.0,0.0,0.08,0.0,0.0,0.0,0.0
46.73,1896-08-01,29.0,2.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.76,1896-09-01,23.576666666666668,2.1333333333333333,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
82.7,1896-10-01,38.51333333333333,26.923333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.93,1896-11-01,71.79,60.10999999999999,28.903333333333336,12.18,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1896-12-01,99.35333333333334,92.75666666666666,50.56,12.453333333333333,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1897-01-01,94.67,76.14666666666668,50.56,12.453333333333333,0.0,0.0,0.0,0.0,0.0,0.0
15.98,1897-02-01,94.15333333333332,64.25333333333333,21.65666666666667,0.2733333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1.56,1897-03-01,94.15666666666668,64.91333333333334,27.540000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1897-04-01,80.75333333333334,56.13333333333333,27.540000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.18,1897-05-01,80.53333333333335,40.973333333333336,27.540000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.22,1897-06-01,47.20000000000001,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1897-07-01,32.59333333333334,6.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1897-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1897-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.07,1897-10-01,0.0,0.0,0.0,0.0,0.0,6.93,0.0,0.0,0.0,0.0
96.03,1897-11-01,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,0.0
81.81,1897-12-01,0.0,0.0,0.0,0.0,0.0,18.19,0.1,0.0,0.0,0.0
51.05,1898-01-01,0.0,0.0,0.0,0.0,0.0,48.95,6.33,0.0,0.0,0.0
99.71,1898-02-01,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0
93.53,1898-03-01,16.76000000000001,0.0,0.0,0.0,0.0,6.47,0.29,0.0,0.0,0.0
49.72,1898-04-01,16.76000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.73,1898-05-01,27.18000000000001,0.0,0.0,0.0,0.0,7.28,2.65,0.0,0.0,0.0
65.33,1898-06-01,34.77333333333335,13.87,0.0,0.0,0.0,3.41,0.0,0.0,0.0,0.0
26.52,1898-07-01,56.34333333333334,24.683333333333334,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0
