MapDate,StateAbbreviation,StatisticFormatID,ValidStart,ValidEnd,D0,D1,D2,D3,D4,None,Missing
20260324,Combine,1,2026-03-24,2026-03-30,100.00,94.33,0.00,0.00,0.00,0.00,0.00
20260317,Combine,1,2026-03-17,2026-03-23,100.00,100.00,0.00,0.00,0.00,0.00,0.00
20260310,Combine,1,2026-03-10,2026-03-16,100.00,100.00,0.00,0.00,0.00,0.00,0.00
20260303,Combine,1,2026-03-03,2026-03-09,100.00,100.00,0.00,0.00,0.00,0.00,0.00
20260224,Combine,1,2026-02-24,2026-03-02,100.00,100.00,0.00,0.00,0.00,0.00,0.00
20260217,Combine,1,2026-02-17,2026-02-23,100.00,100.00,80.39,0.00,0.00,0.00,0.00
20260210,Combine,1,2026-02-10,2026-02-16,100.00,96.92,80.38,0.00,0.00,0.00,0.00
20260203,Combine,1,2026-02-03,2026-02-09,100.00,96.92,80.38,0.00,0.00,0.00,0.00
20260127,Combine,1,2026-01-27,2026-02-02,100.00,96.92,80.38,0.00,0.00,0.00,0.00
20260120,Combine,1,2026-01-20,2026-01-26,100.00,97.03,80.38,0.00,0.00,0.00,0.00
20260113,Combine,1,2026-01-13,2026-01-19,100.00,97.03,80.38,0.00,0.00,0.00,0.00
20260106,Combine,1,2026-01-06,2026-01-12,100.00,95.84,80.38,0.00,0.00,0.00,0.00
20251230,Combine,1,2025-12-30,2026-01-05,100.00,95.84,52.01,0.00,0.00,0.00,0.00
20251223,Combine,1,2025-12-23,2025-12-29,100.00,91.80,52.01,0.00,0.00,0.00,0.00
20251216,Combine,1,2025-12-16,2025-12-22,100.00,91.80,34.68,0.00,0.00,0.00,0.00
20251209,Combine,1,2025-12-09,2025-12-15,100.00,46.42,14.89,0.00,0.00,0.00,0.00
20251202,Combine,1,2025-12-02,2025-12-08,100.00,46.42,16.64,0.00,0.00,0.00,0.00
20251125,Combine,1,2025-11-25,2025-12-01,100.00,46.42,16.64,0.00,0.00,0.00,0.00
20251118,Combine,1,2025-11-18,2025-11-24,100.00,46.42,16.64,0.00,0.00,0.00,0.00
20251111,Combine,1,2025-11-11,2025-11-17,100.00,46.42,16.64,0.00,0.00,0.00,0.00
20251104,Combine,1,2025-11-04,2025-11-10,98.52,46.42,0.00,0.00,0.00,1.48,0.00
20251028,Combine,1,2025-10-28,2025-11-03,100.00,65.29,12.37,0.00,0.00,0.00,0.00
20251021,Combine,1,2025-10-21,2025-10-27,99.51,52.32,4.42,0.00,0.00,0.49,0.00
20251014,Combine,1,2025-10-14,2025-10-20,99.51,36.94,4.42,0.00,0.00,0.49,0.00
20251007,Combine,1,2025-10-07,2025-10-13,86.09,34.19,4.42,0.00,0.00,13.91,0.00
20250930,Combine,1,2025-09-30,2025-10-06,85.71,29.96,0.00,0.00,0.00,14.29,0.00
20250923,Combine,1,2025-09-23,2025-09-29,85.71,22.39,0.00,0.00,0.00,14.29,0.00
20250916,Combine,1,2025-09-16,2025-09-22,87.12,29.49,0.00,0.00,0.00,12.88,0.00
20250909,Combine,1,2025-09-09,2025-09-15,86.33,26.62,0.00,0.00,0.00,13.67,0.00
20250902,Combine,1,2025-09-02,2025-09-08,98.72,0.00,0.00,0.00,0.00,1.28,0.00
20250826,Combine,1,2025-08-26,2025-09-01,53.84,0.00,0.00,0.00,0.00,46.16,0.00
20250819,Combine,1,2025-08-19,2025-08-25,53.84,0.00,0.00,0.00,0.00,46.16,0.00
20250812,Combine,1,2025-08-12,2025-08-18,2.78,0.00,0.00,0.00,0.00,97.22,0.00
20250805,Combine,1,2025-08-05,2025-08-11,0.06,0.00,0.00,0.00,0.00,99.94,0.00
20250729,Combine,1,2025-07-29,2025-08-04,0.05,0.00,0.00,0.00,0.00,99.95,0.00
20250722,Combine,1,2025-07-22,2025-07-28,0.05,0.00,0.00,0.00,0.00,99.95,0.00
20250715,Combine,1,2025-07-15,2025-07-21,0.97,0.00,0.00,0.00,0.00,99.03,0.00
