level,avg,d2026
-25,0.0,0
-24,0.06451612903225806,0
-23,0.12903225806451613,0
-22,0.22580645161290322,0
-21,0.25806451612903225,0
-20,0.3870967741935484,0
-19,0.45161290322580644,0
-18,0.5483870967741935,0
-17,0.8709677419354839,0
-16,1.032258064516129,0
-15,1.2258064516129032,0
-14,1.3548387096774193,0
-13,1.5483870967741935,0
-12,1.6774193548387097,0
-11,1.903225806451613,0
-10,2.129032258064516,0
-9,2.3870967741935485,0
-8,2.903225806451613,0
-7,3.2903225806451615,0
-6,3.903225806451613,0
-5,4.548387096774194,0
-4,5.451612903225806,0
-3,6.580645161290323,0
-2,7.806451612903226,0
-1,9.548387096774194,0
0,11.290322580645162,0
1,13.451612903225806,0
2,15.548387096774194,0
3,18.419354838709676,0
4,21.129032258064516,0
5,24.516129032258064,0
6,29.032258064516128,0
7,36.96774193548387,0
8,44.74193548387097,0
9,53.67741935483871,0
10,63.03225806451613,0
11,75.09677419354838,0
12,86.51612903225806,0
13,100.29032258064517,0
14,114.12903225806451,0
15,130.03225806451613,0
16,148.16129032258064,0
17,173.70967741935485,0
18,198.38709677419354,0
19,216.90322580645162,0
20,250.16129032258064,0
21,276.5806451612903,0
22,312.64516129032256,0
23,354.5483870967742,0
24,394.16129032258067,0
25,458.4516129032258,0
