year,min_feel,max_feel
1930,-8.601791,96.72261
1931,1.1190312,94.937386
1932,-2.4049382,93.42329
1933,-2.8625205,87.65036
1934,-24.408638,94.937386
1935,-12.526075,89.62532
1936,-19.137596,94.937386
1937,5.8132553,91.948654
1938,4.041652,90.693184
1939,4.042622,87.49643
1940,-8.64051,88.20006
1941,-0.22615023,96.98
1942,-10.785292,90.31023
1943,-13.235491,95.11388
1944,-2.5738297,96.034424
1945,-5.628059,89.935005
1946,0.8638087,89.03634
1947,-12.713249,89.35021
1948,-8.697113,91.91839
1949,-0.8658359,91.03667
1950,0.17143972,92.16118
1951,-10.545681,90.51768
1952,-2.5738297,97.01907
1953,6.4679403,99.34976
1954,-0.68855596,93.11377
1955,-7.500387,96.034424
1956,-0.18342344,89.60362
1957,-3.567257,98.20775
1958,-17.147942,87.03636
1959,-8.354689,89.935005
1960,2.2745311,92.46696
1961,-9.867473,87.67486
1962,-7.73532,94.56261
1963,-17.926111,91.805565
1964,-5.485793,90.14032
1965,-4.12774,88.20006
1966,-4.9215336,93.11377
1967,0.9746098,89.935005
1968,-7.0429163,87.03636
1969,3.99534,94.56261
1970,-10.353152,91.94
1971,-1.6455166,91.94
1972,-17.215267,85.80605
1973,-9.377612,89.96
1974,7.5016575,89.96
1975,5.60838,91.94
1976,-9.641826,93.92
1977,-19.069206,93.92
1978,-3.7978592,89.96
1979,-9.612962,84.841064
1980,-1.1027842,93.92
1981,-7.09087,89.96
1982,-27.677443,91.94
1983,3.2883651,93.92
1984,-16.483229,93.92
1985,-22.19118,93.92
1986,-5.623801,92.25586
1987,-2.7159734,96.98
1988,-4.5729485,98.86574
1989,-1.4918354,89.96
1990,-15.296252,89.96
1991,1.1083442,96.98
1992,-0.64746064,91.94
1993,-4.591777,92.606995
1994,-23.849321,91.94
1995,-11.287489,93.92
1996,-7.78723,91.94
1997,-5.367853,94.20773
1998,8.370439,93.92
1999,4.4569488,98.96
2000,2.1184344,87.99493
2001,-1.1552604,89.96
2002,5.6908016,93.92
2003,-3.2196498,89.96
2004,-9.696186,89.96
2005,-10.353152,91.94
2006,-0.10822107,91.94
2007,-5.412076,96.98
2008,3.581417,93.92
2009,-7.3983903,93.11386
2010,-0.911867,101.869675
2011,4.1325283,96.98
2012,4.233206,98.96
2013,4.6991796,89.96
2014,-11.088298,91.94
2015,-9.994285,91.97196
2016,-2.513342,91.97196
2017,-1.3134048,91.9
2018,-5.4633207,93.9
2019,-4.4025226,92.3526
2020,10.534009,96.72261
2021,10.677966,92.79964
2022,4.223542,94.981995
2023,-4.218798,91.029144
2024,6.1057534,94.937386
2025,0.3652459,91.72551
2026,-8.745986,84.60841
