year,max_feel
1930,115.89559
1931,119.06612
1932,118.59966
1933,118.59966
1934,116.61578
1935,105.813805
1936,114.41511
1937,109.70484
1938,109.30786
1939,105.70814
1940,113.18201
1941,112.18447
1942,109.30786
1943,132.683
1944,111.55462
1945,110.976295
1946,124.09374
1947,112.76286
1948,117.10938
1949,117.13726
1950,108.30056
1951,110.827675
1952,114.61441
1953,109.26634
1954,110.70981
1955,110.70687
1956,105.3295
1957,106.682785
1958,104.35634
1959,109.25538
1960,105.49719
1961,104.12115
1962,105.70814
1963,102.32081
1964,104.35634
1965,102.32081
1966,101.64662
1967,100.134155
1968,104.06505
1969,108.03509
1970,103.328926
1971,101.61793
1972,105.745384
1973,108.79859
1974,103.13374
1975,106.09154
1976,103.13374
1977,113.132805
1978,112.59004
1979,114.46186
1980,122.269936
1981,114.60988
1982,104.877205
1983,113.609146
1984,104.3018
1985,108.34123
1986,105.065865
1987,107.577736
1988,112.37487
1989,108.37295
1990,113.941734
1991,108.64083
1992,105.77677
1993,111.642624
1994,111.38827
1995,119.26048
1996,104.54315
1997,109.99754
1998,105.73499
1999,111.20535
2000,103.08928
2001,113.132805
2002,120.4826
2003,102.18239
2004,100.51583
2005,104.55464
2006,108.49134
2007,108.98833
2008,107.248245
2009,100.11813
2010,108.956
2011,121.06651
2012,111.97595
2013,110.38731
2014,108.64083
2015,107.27479
2016,114.030365
2017,109.38856
2018,109.79942
2019,109.943
2020,108.64493
2021,107.123085
2022,105.72785
2023,108.59914
2024,111.05416
2025,108.53611
