level,avg
91,277.4193548
92,239.4516129
93,208.2258065
94,170.9677419
95,144.6129032
96,119.4516129
97,99.87096774
98,78.35483871
99,61.32258065
100,48.38709677
101,37.5483871
102,28.29032258
103,21.93548387
104,15.25806452
105,10.61290323
106,7.709677419
107,5.451612903
108,3.35483871
109,2.032258065
110,1.225806452
111,0.741935484
112,0.516129032
113,0.290322581
114,0.258064516
115,0.193548387
116,0.193548387
117,0.129032258
118,0.129032258
119,0.096774194
120,0.064516129
121,0.032258065
