date,DailyPeakWindSpeed
6/13/1998,54
6/15/1998,51
6/14/1999,60
9/16/1999,55
1/13/2000,55
4/8/2000,51
5/24/2000,55
7/14/2000,53
2/10/2001,51
2/4/2002,52
3/21/2002,52
9/18/2003,58
9/19/2003,54
11/13/2003,54
3/6/2004,53
10/16/2004,51
12/1/2004,52
5/14/2005,54
1/14/2006,54
1/15/2006,54
7/2/2006,53
2/22/2007,55
4/16/2007,52
11/22/2007,51
12/3/2007,53
2/10/2008,52
3/5/2008,74
3/8/2008,60
5/21/2008,54
6/4/2008,59
6/16/2008,53
7/22/2008,51
12/31/2008,55
2/12/2009,51
2/26/2010,52
3/25/2010,52
4/8/2010,59
6/22/2010,55
7/25/2010,53
8/5/2010,59
11/17/2010,54
12/27/2010,55
2/19/2011,53
2/25/2011,58
4/5/2011,55
4/16/2011,58
6/16/2011,52
7/3/2011,52
8/27/2011,59
8/28/2011,60
6/29/2012,70
9/8/2012,58
9/18/2012,61
10/29/2012,61
4/19/2013,53
6/28/2013,53
3/12/2014,52
2/14/2015,52
2/15/2015,56
6/8/2015,52
6/23/2015,55
7/1/2015,51
4/2/2016,59
4/3/2016,50
5/2/2016,50
12/15/2016,51
12/18/2016,54
2/12/2017,66
3/1/2017,54
4/6/2017,50
6/19/2017,52
3/2/2018,62
8/13/2018,51
2/25/2019,52
3/22/2019,59
4/15/2019,55
5/23/2019,68
5/30/2019,52
7/17/2019,51
3/3/2020,54
4/9/2020,51
6/4/2020,50
7/6/2020,60
7/22/2020,58
3/14/2021,55
3/26/2021,55
3/28/2021,52
3/29/2021,52
4/21/2021,52
4/30/2021,62
5/26/2021,53
7/1/2021,58
7/21/2021,51
12/6/2021,57
2/19/2022,50
3/12/2022,52
3/31/2022,55
5/22/2022,59
7/12/2022,52
8/1/2022,52
8/4/2022,58
12/23/2022,56
2/24/2023,51
3/14/2023,50
4/1/2023,59
7/14/2023,60
7/29/2023,60
8/7/2023,52
8/14/2023,58
12/18/2023,52
1/9/2024,52
1/14/2024,52
2/28/2024,50
4/13/2024,50
8/26/2024,53
12/5/2024,58
1/1/2025,54
1/4/2025,52
2/13/2025,57
2/16/2025,64
2/17/2025,60
3/6/2025,53
3/16/2025,51
4/15/2025,52
7/9/2025,55
9/6/2025,59
10/31/2025,50
12/29/2025,54
1/11/2026,56
1/23/2026,53
2/7/2026,58
