year,Date,Month,Daily Mean AQI,Worst Main Pollutant,Peak Station AQI,Peak Site Name,Peak Site ID
1980,1980-08-05,Aug,253.0,Ozone,253,LAT/LONG POINT IS OF SAMPLING INLET.................................,24-033-0002
1981,1981-07-18,Jul,256.0,Ozone,256,Not Available,51-059-0018
1982,1982-08-04,Aug,220.0,Ozone,220,TAKOMA SCHOOL,11-001-0025
1983,1983-07-03,Jul,239.0,Ozone,239,Not Available,51-059-1004
1984,1984-06-12,Jun,240.0,Ozone,240,Rockville,24-031-3001
1985,1985-09-20,Sep,220.0,Ozone,220,Rockville,24-031-3001
1986,1986-07-17,Jul,219.0,Ozone,219,Not Available,51-059-0018
1987,1987-07-25,Jul,225.0,Ozone,225,Not Available,51-059-0018
1988,1988-06-14,Jun,254.0,Ozone,254,LAT/LONG POINT IS OF SAMPLING INLET.................................,24-033-8001
1989,1989-07-01,Jul,222.0,Ozone,222,TAKOMA SCHOOL,11-001-0025
1990,1990-07-19,Jul,217.0,Ozone,217,Beltsville,24-033-9991
1991,1991-07-20,Jul,243.0,Ozone,243,Not Available,51-059-1004
1992,1992-05-23,May,212.0,Ozone,212,Southern Maryland,24-017-0010
1993,1993-06-17,Jun,218.0,Ozone,218,LAT/LONG POINT IS OF SAMPLING INLET.................................,24-033-0002
1994,1994-07-13,Jul,216.0,Ozone,216,Beltsville,24-033-9991
1995,1995-07-15,Jul,225.0,Ozone,225,Beltsville,24-033-9991
1996,1996-08-23,Aug,200.0,Ozone,200,Not Available,51-059-0018
1997,1997-07-15,Jul,237.0,Ozone,237,LAT/LONG POINT IS OF SAMPLING INLET.................................,24-033-0002
1998,1998-08-04,Aug,213.0,Ozone,213,Not Available,51-059-0005
1999,1999-07-31,Jul,220.0,Ozone,220,LAT/LONG POINT IS OF SAMPLING INLET.................................,24-033-0002
2000,2000-06-10,Jun,214.0,Ozone,214,Beltsville,24-033-9991
2001,2001-06-20,Jun,206.0,Ozone,206,LAT/LONG POINT IS OF SAMPLING INLET.................................,24-033-0002
2002,2002-07-02,Jul,229.0,Ozone,229,Aurora Hills Visitors Center,51-013-0020
2003,2003-06-26,Jun,221.0,Ozone,221,PG Equestrian Center,24-033-8003
2004,2004-07-02,Jul,219.0,Ozone,219,Not Available,51-059-0018
2005,2005-07-12,Jul,187.0,Ozone,187,Rockville,24-031-3001
2006,2006-07-18,Jul,221.0,Ozone,221,Not Available,51-059-0018
2007,2007-08-04,Aug,205.0,Ozone,205,PG Equestrian Center,24-033-8003
2008,2008-07-17,Jul,197.0,Ozone,197,Aurora Hills Visitors Center,51-013-0020
2009,2009-06-08,Jun,150.0,Ozone,150,MCMILLAN  NCore-PAMS,11-001-0043
2010,2010-07-07,Jul,187.0,Ozone,187,MCMILLAN  NCore-PAMS,11-001-0043
2011,2011-06-10,Jun,187.0,Ozone,187,Aurora Hills Visitors Center,51-013-0020
2012,2012-06-29,Jun,206.0,Ozone,206,Calvert,24-009-0011
2013,2013-07-18,Jul,122.0,Ozone,122,Beltsville,24-033-9991
2014,2014-06-16,Jun,154.0,Ozone,154,Aurora Hills Visitors Center,51-013-0020
2015,2015-06-11,Jun,156.0,Ozone,156,HU-Beltsville,24-033-0030
2016,2016-07-27,Jul,133.0,Ozone,133,Southern Maryland,24-017-0010
2017,2017-07-20,Jul,133.0,Ozone,133,PG Equestrian Center,24-033-8003
2018,2018-07-09,Jul,166.0,Ozone,166,HU-Beltsville,24-033-0030
2019,2019-07-04,Jul,159.0,PM2.5,159,RIVER TERRACE,11-001-0041
2020,2020-07-04,Jul,171.0,PM2.5,171,Near Road,11-001-0051
2021,2021-07-04,Jul,153.0,PM2.5,153,Near Road,11-001-0051
2022,2022-07-04,Jul,128.0,PM2.5,128,RIVER TERRACE,11-001-0041
2023,2023-06-08,Jun,222.0,PM2.5,222,Lee District Park,51-059-0030
2024,2024-08-01,Aug,133.0,Ozone,133,MCMILLAN  NCore-PAMS,11-001-0043
2025,2025-07-04,Jul,185.0,PM2.5,185,Near Road,11-001-0051
