year,orange,red,purple,maroon
1980,58,26,26,0
1981,52,28,9,0
1982,47,28,14,0
1983,49,30,32,0
1984,64,24,10,0
1985,63,33,8,0
1986,57,35,5,0
1987,58,31,18,0
1988,41,24,29,0
1989,64,16,3,0
1990,65,19,3,0
1991,61,39,11,0
1992,44,13,1,0
1993,48,39,7,0
1994,56,18,3,0
1995,41,25,7,0
1996,44,17,0,0
1997,39,25,5,0
1998,40,40,7,0
1999,49,29,11,0
2000,52,10,2,0
2001,56,19,3,0
2002,46,26,10,0
2003,40,5,3,0
2004,34,5,2,0
2005,41,18,0,0
2006,34,18,3,0
2007,49,16,1,0
2008,30,8,0,0
2009,13,0,0,0
2010,37,13,0,0
2011,29,10,0,0
2012,27,7,2,0
2013,12,0,0,0
2014,9,1,0,0
2015,13,1,0,0
2016,16,0,0,0
2017,8,0,0,0
2018,9,1,0,0
2019,10,1,0,0
2020,2,1,0,0
2021,9,1,0,0
2022,4,0,0,0
2023,16,3,1,0
2024,8,0,0,0
2025,5,2,0,0
